game_name,participant ID,trial_no,tool,posx,posy,success,attempt #,Gravity
Basic,1555,1,obj1,112,265,0,1,200
Basic,1555,1,obj1,87,273,1,2,200
Basic_v2,1555,2,obj1,516,265,0,1,200
Basic_v2,1555,2,obj2,523,300,0,2,200
Basic_v2,1555,2,obj3,526,289,0,3,200
Basic_v2,1555,2,obj1,516,299,0,4,200
Basic_v2,1555,2,obj1,521,277,0,5,200
Basic_v2,1555,2,obj1,521,175,0,6,200
Basic_v2,1555,2,obj1,519,128,1,7,200
Table_B,1555,3,obj3,359,406,0,1,200
Table_B,1555,3,obj3,261,456,0,2,200
Table_B,1555,3,obj1,369,411,0,3,200
Table_B,1555,3,obj2,123,379,0,4,200
Table_B,1555,3,obj2,444,531,0,5,200
Table_B,1555,3,obj3,229,519,0,6,200
Table_B,1555,3,obj2,281,438,0,7,200
Table_B,1555,3,obj2,263,558,0,8,200
Table_B,1555,3,obj2,271,557,0,9,200
Table_B,1555,3,obj2,263,559,0,10,200
Table_B,1555,3,obj1,357,247,0,11,200
Table_B,1555,3,obj2,432,193,0,12,200
Backup,1555,4,obj2,202,79,0,1,200
Backup,1555,4,obj1,259,120,1,2,200
Unsupport,1555,5,obj2,537,45,0,1,200
Unsupport,1555,5,obj1,488,33,0,2,200
Unsupport,1555,5,obj3,55,91,0,3,200
Unsupport,1555,5,obj1,509,36,0,4,200
Unsupport,1555,5,obj2,490,33,0,5,200
Unsupport,1555,5,obj3,526,31,0,6,200
Unsupport,1555,5,obj3,533,38,0,7,200
Unsupport,1555,5,obj1,519,33,0,8,200
Unsupport,1555,5,obj3,539,41,0,9,200
Unsupport,1555,5,obj1,75,60,0,10,200
Unsupport,1555,5,obj2,536,36,0,11,200
Unsupport,1555,5,obj2,542,37,0,12,200
Launch_B,1555,6,obj2,89,335,0,1,200
Launch_B,1555,6,obj1,88,300,0,2,200
Launch_B,1555,6,obj3,95,337,0,3,200
Launch_B,1555,6,obj2,83,331,0,4,200
Launch_B,1555,6,obj1,99,339,0,5,200
Launch_B,1555,6,obj3,75,334,0,6,200
Launch_B,1555,6,obj3,84,331,0,7,200
Launch_B,1555,6,obj2,88,305,0,8,200
Launch_B,1555,6,obj2,87,361,0,9,200
Launch_B,1555,6,obj2,120,352,0,10,200
Launch_B,1555,6,obj2,122,360,0,11,200
Launch_B,1555,6,obj2,99,355,0,12,200
Falling_v2,1555,7,obj3,321,145,0,1,200
Falling_v2,1555,7,obj3,298,77,0,2,200
Falling_v2,1555,7,obj1,317,118,0,3,200
Falling_v2,1555,7,obj2,305,167,0,4,200
Falling_v2,1555,7,obj3,301,174,0,5,200
Falling_v2,1555,7,obj3,315,51,0,6,200
Falling_v2,1555,7,obj3,325,43,0,7,200
Falling_v2,1555,7,obj2,322,29,0,8,200
Falling_v2,1555,7,obj1,325,43,0,9,200
Falling_v2,1555,7,obj2,322,30,0,10,200
Falling_v2,1555,7,obj3,324,50,0,11,200
Falling_v2,1555,7,obj3,344,45,0,12,200
Balance,1555,8,obj3,237,225,0,1,200
Balance,1555,8,obj1,238,210,1,2,200
Filler,1555,9,obj1,53,41,0,1,200
Filler,1555,9,obj3,238,118,0,2,200
Filler,1555,9,obj3,261,158,0,3,200
Filler,1555,9,obj2,258,208,0,4,200
Filler,1555,9,obj3,247,176,0,5,200
Filler,1555,9,obj1,242,239,0,6,200
Filler,1555,9,obj3,241,244,1,7,200
Falling_B,1555,10,obj2,369,175,1,1,200
Shove,1555,11,obj1,354,374,1,1,200
BridgeAlt,1555,12,obj3,314,498,1,1,200
BalanceUnder,1555,13,obj1,325,320,0,1,200
BalanceUnder,1555,13,obj1,328,110,0,2,200
BalanceUnder,1555,13,obj2,310,321,0,3,200
BalanceUnder,1555,13,obj1,322,345,1,4,200
Table_v2,1555,14,obj2,185,525,0,1,200
Table_v2,1555,14,obj1,173,532,1,2,200
Catapult,1555,15,obj2,371,408,0,1,100
Catapult,1555,15,obj2,407,112,1,2,100
FridgeMagnet,1555,16,obj2,219,35,0,1,100
FridgeMagnet,1555,16,obj1,317,47,0,2,100
FridgeMagnet,1555,16,obj2,338,66,0,3,100
FridgeMagnet,1555,16,obj2,348,60,0,4,100
FridgeMagnet,1555,16,obj1,359,36,0,5,100
FridgeMagnet,1555,16,obj1,350,33,0,6,100
FridgeMagnet,1555,16,obj2,354,28,0,7,100
FridgeMagnet,1555,16,obj1,128,48,0,8,100
FridgeMagnet,1555,16,obj2,108,54,1,9,100
Launch_A,1555,17,obj1,46,208,1,1,100
Towers_B,1555,18,obj1,274,297,0,1,100
Towers_B,1555,18,obj2,280,304,0,2,100
Towers_B,1555,18,obj3,295,344,0,3,100
Towers_B,1555,18,obj1,285,316,0,4,100
Towers_B,1555,18,obj2,263,380,0,5,100
Towers_B,1555,18,obj2,342,365,0,6,100
Towers_B,1555,18,obj2,240,404,0,7,100
Towers_B,1555,18,obj1,296,259,0,8,100
Towers_B,1555,18,obj3,244,374,0,9,100
Towers_B,1555,18,obj2,337,39,0,10,100
Towers_B,1555,18,obj1,394,59,0,11,100
Towers_B,1555,18,obj1,347,54,0,12,100
Table_A,1555,19,obj3,228,516,0,1,100
Table_A,1555,19,obj2,414,540,1,2,100
Chaining,1555,20,obj1,40,50,0,1,100
Chaining,1555,20,obj2,550,49,0,2,100
Chaining,1555,20,obj2,546,52,0,3,100
Chaining,1555,20,obj2,538,53,0,4,100
Chaining,1555,20,obj2,543,36,0,5,100
Chaining,1555,20,obj1,63,29,1,6,100
Bridge,1555,21,obj3,282,542,0,1,100
Bridge,1555,21,obj1,567,53,0,2,100
Bridge,1555,21,obj1,315,542,1,3,100
Towers_A,1555,22,obj1,354,91,0,1,100
Towers_A,1555,22,obj2,273,251,1,2,100
DoubleDown,1555,23,obj1,279,40,0,1,100
DoubleDown,1555,23,obj2,274,55,0,2,100
DoubleDown,1555,23,obj1,346,30,0,3,100
