game_name,game iter,trial_no,tool,posx,posy,success,total_attempt
Unbox,0,1,obj1,349.25330819114924,355.2674164704944,True,2
Unbox,0,2,obj1,331.32710673909133,302.5277831918512,True,2
Unbox,1,1,obj2,492.0,382.0,True,4
Unbox,1,2,obj2,389.0,181.0,True,4
Unbox,1,3,obj3,392.2054941099512,400.5362956866648,True,4
Unbox,1,4,obj1,523.0,341.0,True,4
Unbox,2,1,obj1,196.77160675550817,523.8334828792857,True,1
Unbox,3,1,obj1,413.8332361817518,392.731686390022,True,2
Unbox,3,2,obj2,503.0,541.0,True,2
Unbox,4,1,obj1,452.4357585624512,449.6505285159917,True,2
Unbox,4,2,obj1,144.0,394.0,True,2
