game_name,game iter,trial_no,tool,posx,posy,success,total_attempt
catapult,0,1,obj1,181.0,332.0,False,11
catapult,0,2,obj1,180.38607761497414,348.17377135726684,False,11
catapult,0,3,obj1,214.0,333.0,False,11
catapult,0,4,obj1,401.43385133050776,574.0185071751607,False,11
catapult,0,5,obj1,418.871574660115,432.5770757394491,False,11
catapult,0,6,obj1,406.0,488.0,False,11
catapult,0,7,obj1,381.2794724410132,511.2245749325501,False,11
catapult,0,8,obj1,207.0,262.0,False,11
catapult,0,9,obj1,108.50968166935527,454.17287684927453,False,11
catapult,0,10,obj1,191.0,253.0,False,11
catapult,0,11,obj2,170.0,287.0,False,11
catapult,1,1,obj1,350.6060050457462,316.2810958864188,False,11
catapult,1,2,obj1,541.6374862109315,497.84139696427286,False,11
catapult,1,3,obj1,411.10573079157433,521.7727111496042,False,11
catapult,1,4,obj1,237.0,286.0,False,11
catapult,1,5,obj1,177.32103952290936,414.4596525249308,False,11
catapult,1,6,obj3,362.0,264.0,False,11
catapult,1,7,obj1,425.46336062119747,375.5892151360475,False,11
catapult,1,8,obj1,516.1625684097978,261.75204528550466,False,11
catapult,1,9,obj1,437.83161691438056,409.5290010804347,False,11
catapult,1,10,obj1,419.0,203.0,False,11
catapult,1,11,obj1,380.77360545778726,209.75867993584478,False,11
catapult,2,1,obj2,186.0,537.0,True,5
catapult,2,2,obj2,188.529544091167,203.25229918959982,True,5
catapult,2,3,obj2,370.8356849828297,360.60013307429693,True,5
catapult,2,4,obj2,464.9232838166717,243.97232006877232,True,5
catapult,2,5,obj2,380.50170022251905,538.4003344046814,True,5
catapult,3,1,obj3,432.0,202.0,True,3
catapult,3,2,obj2,66.12660043640747,364.8369157990684,True,3
catapult,3,3,obj2,357.43385215446347,541.3807289824799,True,3
catapult,4,1,obj1,407.35437561750973,432.0185671666677,False,11
catapult,4,2,obj1,416.89559970549493,502.76699763785166,False,11
catapult,4,3,obj1,445.0750985653481,55.75244469883842,False,11
catapult,4,4,obj1,406.0,318.0,False,11
catapult,4,5,obj3,431.48654733187,283.3990183913741,False,11
catapult,4,6,obj3,348.9314615871387,265.6913422266261,False,11
catapult,4,7,obj1,174.0,318.0,False,11
catapult,4,8,obj1,205.0,460.0,False,11
catapult,4,9,obj3,373.87731414448456,439.81889530307166,False,11
catapult,4,10,obj3,361.80631051606804,447.08423949866693,False,11
catapult,4,11,obj2,318.0,360.0,False,11
catapult,5,1,obj1,186.46004500521843,198.42739065763092,False,11
catapult,5,2,obj1,179.21689562212424,281.57500162713114,False,11
catapult,5,3,obj1,179.23286327870403,313.12637290107057,False,11
catapult,5,4,obj3,182.0,412.0,False,11
catapult,5,5,obj1,207.75645056498956,397.14668747378107,False,11
catapult,5,6,obj1,559.8878494047967,365.47129517511513,False,11
catapult,5,7,obj1,334.0602828843693,450.2125834272642,False,11
catapult,5,8,obj1,392.52825513726964,398.6528096029579,False,11
catapult,5,9,obj3,50.681604588457674,146.05965903479978,False,11
catapult,5,10,obj3,434.0,418.0,False,11
catapult,5,11,obj3,417.2829935237201,351.04178683424476,False,11
catapult,6,1,obj1,190.53027148151833,188.38841382014772,True,6
catapult,6,2,obj1,214.99814166117008,396.3266183958445,True,6
catapult,6,3,obj3,382.5468732243391,553.1362590400004,True,6
catapult,6,4,obj1,359.02499850028795,315.2318269439799,True,6
catapult,6,5,obj2,431.1301518154683,134.99856975161867,True,6
catapult,6,6,obj2,372.55392837182626,536.4052107542141,True,6
catapult,7,1,obj1,277.35390168477073,285.5350127942716,False,11
catapult,7,2,obj1,369.73656267593776,322.6594874427353,False,11
catapult,7,3,obj1,388.91627142155386,472.8309135988374,False,11
catapult,7,4,obj1,59.345218120188974,96.13221463157947,False,11
catapult,7,5,obj1,235.80319554953556,452.67077390185915,False,11
catapult,7,6,obj1,355.0214894712839,281.39355480153745,False,11
catapult,7,7,obj1,393.6717943723968,449.6717212973615,False,11
catapult,7,8,obj1,389.09136331154593,169.10757951743693,False,11
catapult,7,9,obj1,379.0,462.0,False,11
catapult,7,10,obj1,476.6019113315201,395.1768669306102,False,11
catapult,7,11,obj1,168.69114002115467,425.8048857127954,False,11
catapult,8,1,obj1,390.1588407877904,207.0631811758685,True,4
catapult,8,2,obj1,424.6228255595128,443.6548676946692,True,4
catapult,8,3,obj2,414.92561106777237,236.37348048084363,True,4
catapult,8,4,obj2,406.48331033658644,401.00483469876133,True,4
catapult,9,1,obj1,142.06086348306465,145.29903560196624,True,3
catapult,9,2,obj1,240.90339199678002,178.68699946624773,True,3
catapult,9,3,obj2,388.0,335.0,True,3
catapult,10,1,obj1,330.9018103317335,324.75302931428394,False,11
catapult,10,2,obj1,189.0,501.0,False,11
catapult,10,3,obj1,419.4178147797719,248.59457370434075,False,11
catapult,10,4,obj1,77.00953737530352,316.9401450621845,False,11
catapult,10,5,obj3,380.0,371.0,False,11
catapult,10,6,obj1,388.111726546973,348.86332031627023,False,11
catapult,10,7,obj1,184.91121814695086,247.87790655322118,False,11
catapult,10,8,obj1,201.3287434617941,344.30219502012875,False,11
catapult,10,9,obj1,89.50960743929599,359.0271791764824,False,11
catapult,10,10,obj3,200.0,306.0,False,11
catapult,10,11,obj1,384.0,264.0,False,11
catapult,11,1,obj1,382.68359901233674,370.2632322316929,True,4
catapult,11,2,obj3,382.9153293432668,394.08507678161067,True,4
catapult,11,3,obj2,426.0,293.0,True,4
catapult,11,4,obj2,396.86612710605436,437.0491854072617,True,4
catapult,12,1,obj1,369.0,313.0,False,11
catapult,12,2,obj1,261.9981363907193,119.67079414191701,False,11
catapult,12,3,obj1,178.0,322.0,False,11
catapult,12,4,obj1,187.0,289.0,False,11
catapult,12,5,obj2,437.0,398.0,False,11
catapult,12,6,obj3,178.0,449.0,False,11
catapult,12,7,obj2,169.0,192.0,False,11
catapult,12,8,obj3,406.01624341411156,351.70720787966445,False,11
catapult,12,9,obj1,175.0,402.0,False,11
catapult,12,10,obj3,429.887222894456,588.1752810145825,False,11
