game_name,game iter,trial_no,tool,posx,posy,success,total_attempt
catapult,0,1,obj1,387.38408959795834,359.6552173631064,True,2
catapult,0,2,obj1,380.0,322.0,True,2
catapult,1,1,obj1,292.9109931080795,304.85793836039267,True,1
catapult,2,1,obj1,309.0,328.0,True,2
catapult,2,2,obj1,310.5837157486869,309.85020695798227,True,2
catapult,3,1,obj1,467.4933347938858,529.8061654088781,False,11
catapult,3,2,obj1,459.1461013153971,465.7948299210362,False,11
catapult,3,3,obj1,451.9745146828582,418.22227536992784,False,11
catapult,3,4,obj2,208.38269969529085,469.1556067577565,False,11
catapult,3,5,obj2,169.71600670911118,377.96990088232656,False,11
catapult,3,6,obj2,412.9448702485977,362.73028508673724,False,11
catapult,3,7,obj2,127.0,511.0,False,11
catapult,3,8,obj2,209.18212893443388,488.5916333590183,False,11
catapult,3,9,obj2,457.9371721601898,305.92112365667975,False,11
catapult,3,10,obj3,65.0,558.0,False,11
catapult,3,11,obj2,373.2635531164499,466.3580032502173,False,11
catapult,4,1,obj1,350.13057716986424,358.59023506367015,True,1
catapult,5,1,obj1,409.593498182203,409.7245240967371,True,3
catapult,5,2,obj1,447.4656375068158,446.535242132958,True,3
catapult,5,3,obj1,348.0,176.0,True,3
catapult,6,1,obj2,316.0,303.0,True,1
catapult,7,1,obj2,351.0,146.0,True,1
catapult,8,1,obj1,388.0625887653151,401.03126412191165,True,4
catapult,8,2,obj2,322.0,507.0,True,4
catapult,8,3,obj1,320.622568453808,343.29970610884465,True,4
catapult,8,4,obj1,330.76155745050306,444.83558133851665,True,4
catapult,9,1,obj1,298.98173427106525,315.54428411493245,True,3
catapult,9,2,obj1,305.7987277927882,304.9365061638373,True,3
catapult,9,3,obj1,307.15056367206296,302.84922433376295,True,3
catapult,10,1,obj1,388.6954415881452,454.29428365762357,True,3
catapult,10,2,obj1,387.3027885901107,388.3434514557024,True,3
catapult,10,3,obj1,328.78671294602634,188.23882596528483,True,3
catapult,11,1,obj1,320.5935044586238,179.75719351163937,True,2
catapult,11,2,obj1,326.2088837133469,319.7794722727353,True,2
catapult,12,1,obj1,414.5601777250967,413.02009973316416,True,5
catapult,12,2,obj1,429.59443787769584,422.23535864805467,True,5
catapult,12,3,obj1,440.19746749310156,435.13609571925906,True,5
catapult,12,4,obj1,437.6649840220869,450.7865847996044,True,5
catapult,12,5,obj1,349.4952340550325,432.7939389467487,True,5
catapult,13,1,obj1,335.4370872586643,346.5821130253877,True,1
catapult,14,1,obj1,358.03896340293375,367.8858521083861,True,2
catapult,14,2,obj1,353.7616797850031,291.3503064932649,True,2
catapult,15,1,obj1,278.6089156203327,472.7677159124915,True,4
catapult,15,2,obj3,315.0,180.0,True,4
catapult,15,3,obj1,317.9668193297265,304.24529828817833,True,4
catapult,15,4,obj1,330.95341989199596,306.1868687245098,True,4
catapult,16,1,obj1,467.45803081083176,423.3286710257301,True,11
catapult,16,2,obj3,102.0,527.0,True,11
catapult,16,3,obj1,323.412522649484,147.9911857766859,True,11
catapult,16,4,obj1,322.0253209160274,337.8504328695984,True,11
catapult,16,5,obj3,116.0,559.0,True,11
catapult,16,6,obj3,407.0,256.0,True,11
catapult,16,7,obj1,74.43368694527612,519.7056854969929,True,11
catapult,16,8,obj1,323.31316016999665,434.5783314969484,True,11
catapult,16,9,obj1,117.8457122826647,524.2488760424643,True,11
catapult,16,10,obj3,358.0,304.0,True,11
catapult,16,11,obj1,347.219087329702,388.0242056856251,True,11
catapult,17,1,obj1,306.87679738121346,304.67857919207796,True,1
catapult,18,1,obj1,351.87077026426005,350.7455738035045,True,1
catapult,19,1,obj1,305.0,296.0,True,2
catapult,19,2,obj1,331.45055357815465,307.76756772603284,True,2
catapult,20,1,obj1,338.7903271538202,340.46881291075334,True,1
catapult,21,1,obj1,325.0,296.0,True,1
catapult,22,1,obj1,312.134332174938,305.84639212243934,True,2
catapult,22,2,obj1,315.42141931679714,407.77880757686273,True,2
catapult,23,1,obj1,396.7375715115553,401.8861269353418,True,11
catapult,23,2,obj2,379.0,472.0,True,11
catapult,23,3,obj3,67.0,554.0,True,11
catapult,23,4,obj1,73.96833342485064,511.4458312082295,True,11
catapult,23,5,obj1,81.45058726490562,504.38023374841356,True,11
catapult,23,6,obj3,113.0,504.0,True,11
catapult,23,7,obj1,121.74847806957385,486.1249960847614,True,11
catapult,23,8,obj1,133.96151797895922,473.16330676742484,True,11
catapult,23,9,obj1,133.65078521329283,541.0056034654752,True,11
catapult,23,10,obj2,371.0,382.0,True,11
catapult,23,11,obj1,132.63359337933238,496.81435455658635,True,11
catapult,24,1,obj1,355.2271774510569,350.598550958549,True,1
catapult,25,1,obj1,349.8593802337012,352.6616924589942,True,1
catapult,26,1,obj2,388.0,406.0,True,2
catapult,26,2,obj1,345.25795479774865,393.56770200385967,True,2
catapult,27,1,obj1,299.1398371697004,351.8955676579234,True,1
