game_name,game iter,trial_no,tool,posx,posy
catapult,0,1,obj1,299.9103325674249,293.07951552414147
catapult,0,2,obj1,167.0,396.0
catapult,0,3,obj3,214.0,373.0
catapult,0,4,obj1,299.3750069858326,305.5769975964376
catapult,0,5,obj1,299.7367030997408,304.3989397241871
catapult,0,6,obj1,301.21254562456403,305.0214539438095
catapult,0,7,obj2,358.0,381.0
catapult,0,8,obj1,292.7382590887171,299.3253463269428
catapult,0,9,obj1,281.69937232433705,295.04274847593433
catapult,0,10,obj1,302.703711297125,306.6597622372961
catapult,0,11,obj1,307.82961246650956,321.9325385699552
catapult,1,1,obj1,200.0,200.0
catapult,1,2,obj1,312.05471206242294,304.58547714603884
catapult,1,3,obj2,167.0,417.0
catapult,1,4,obj2,390.0,502.0
catapult,2,1,obj1,304.288559330048,288.33064366417057
catapult,2,2,obj1,301.6423999343814,302.11428478427257
catapult,2,3,obj1,301.2348322082975,297.14320325081655
catapult,2,4,obj2,173.0,293.0
catapult,2,5,obj3,202.0,267.0
catapult,2,6,obj1,305.08439548534716,314.4406812546036
catapult,2,7,obj2,177.0,257.0
catapult,2,8,obj1,297.0765905391051,287.0765038792882
catapult,2,9,obj3,257.0,213.0
catapult,2,10,obj1,304.38615306755224,295.9243395160795
catapult,2,11,obj1,312.40387012290876,307.5102341437517
catapult,3,1,obj1,311.5361388540195,304.05981302063685
catapult,3,2,obj1,297.7066281825328,297.9611865445906
catapult,3,3,obj1,305.02785660259343,299.640616203551
catapult,3,4,obj1,294.0737127302254,289.7586979334383
catapult,3,5,obj1,287.14182202674334,296.38116538597586
catapult,3,6,obj1,310.5732533687988,299.03575936776986
catapult,3,7,obj1,297.9097011866132,299.25407194009756
catapult,3,8,obj1,299.363898222534,290.40630345407874
catapult,3,9,obj1,304.4458885347318,281.6194809591508
catapult,3,10,obj1,282.9206445208869,288.5998196545555
catapult,3,11,obj1,279.79763597722854,289.96542613692264
catapult,4,1,obj1,180.0,561.0
catapult,4,2,obj1,307.3554438996896,311.62102039141405
catapult,4,3,obj1,276.05374783059597,302.53599461865696
catapult,4,4,obj1,300.1872944469175,277.33687100227377
catapult,4,5,obj1,287.721918314063,284.65753125288654
catapult,4,6,obj1,299.07201333728773,313.54368415348256
catapult,4,7,obj1,302.09609948181617,298.2203667781778
catapult,4,8,obj1,297.57151756682174,315.3005913766299
catapult,4,9,obj1,300.65619480120716,261.5998395670999
catapult,4,10,obj1,181.0,393.0
catapult,4,11,obj1,179.0,220.0
catapult,5,1,obj1,414.0,562.0
catapult,5,2,obj2,175.0,301.0
catapult,5,3,obj1,299.5406485162686,280.0463549536408
catapult,5,4,obj1,177.0,170.0
catapult,5,5,obj2,198.0,356.0
catapult,5,6,obj1,300.8204350761072,286.4252019735086
catapult,5,7,obj1,292.6332958463505,308.64354437730213
catapult,5,8,obj1,289.9263862649126,300.2023743278305
catapult,5,9,obj1,163.0,328.0
catapult,5,10,obj1,309.21011768773326,275.10896146753925
catapult,5,11,obj1,298.178729978017,303.3830444129186
catapult,6,1,obj3,203.0,245.0
catapult,6,2,obj1,291.59709162370007,277.6849460249522
catapult,6,3,obj1,308.0595162712019,297.5098996779156
catapult,6,4,obj1,284.07744020493874,290.6970902616259
catapult,6,5,obj1,307.5444369802746,303.404825770974
catapult,6,6,obj1,309.9393420600451,304.6684960164425
catapult,6,7,obj1,289.30859155984405,298.4610203890163
catapult,6,8,obj1,302.40090425072344,301.11021677917387
catapult,6,9,obj2,444.0,162.0
catapult,6,10,obj1,296.45149602967837,298.3972147113489
catapult,6,11,obj1,183.0,377.0
catapult,7,1,obj1,196.0,402.0
catapult,7,2,obj1,266.01093149802455,319.81994699433807
catapult,7,3,obj1,311.68146809273895,295.4822246401655
catapult,7,4,obj1,303.6677329793517,304.24250003469183
catapult,7,5,obj1,204.0,439.0
catapult,7,6,obj1,222.0,364.0
catapult,7,7,obj1,183.0,246.0
catapult,7,8,obj2,401.0,205.0
catapult,7,9,obj1,312.27268020771254,315.44094668488964
catapult,7,10,obj2,213.0,213.0
catapult,7,11,obj1,300.77459951792525,299.4694107054185
catapult,8,1,obj2,167.0,341.0
catapult,8,2,obj1,166.0,347.0
catapult,8,3,obj1,179.0,286.0
catapult,8,4,obj1,297.61465074275606,314.17673411527915
catapult,8,5,obj3,184.0,244.0
catapult,8,6,obj1,297.1924572760454,314.2431734781196
catapult,8,7,obj1,272.5436733868694,310.97713053411667
catapult,8,8,obj1,315.3393195309744,304.92622022764766
catapult,8,9,obj2,169.0,397.0
catapult,8,10,obj1,282.9146897911753,293.51894182916163
catapult,8,11,obj3,232.0,352.0
catapult,9,1,obj1,302.3212812640976,289.9461981575609
catapult,9,2,obj1,219.0,406.0
catapult,9,3,obj3,195.0,392.0
catapult,9,4,obj1,296.7193223061761,293.7003407285276
catapult,9,5,obj1,424.0,248.0
catapult,9,6,obj1,165.0,293.0
catapult,9,7,obj1,309.75199576490496,311.1170375665477
catapult,9,8,obj1,317.2506731458677,321.54998649742106
catapult,9,9,obj1,269.3507548409682,334.6596077983954
catapult,9,10,obj1,222.0,239.0
catapult,9,11,obj2,174.0,229.0
catapult,10,1,obj1,293.1350615568368,304.14501110700155
catapult,10,2,obj1,283.459141300796,304.4784701211912
catapult,10,3,obj1,314.13488785790184,285.1606107843762
catapult,10,4,obj1,310.66344158537225,317.7509242952688
catapult,10,5,obj2,380.0,288.0
catapult,10,6,obj2,381.0,469.0
catapult,11,1,obj2,191.0,507.0
catapult,11,2,obj2,433.0,370.0
catapult,11,3,obj1,310.413330724148,295.620708140128
