,index,game_name,Gravity,accuracy_human,average_attempt_human,accuracy_model,average_attempt_model
0,1,Backup,200,77.14285714285715,4.942857142857143,76.0,5.86
1,2,Balance,200,48.64864864864865,6.891891891891892,20.0,9.16
2,3,BalanceUnder,200,85.71428571428571,4.257142857142857,76.0,5.52
3,4,Basic,200,90.0,3.525,98.0,3.06
4,5,Basic_v2,200,66.66666666666666,6.0256410256410255,66.0,5.54
5,6,Bridge,100,87.5,3.4375,36.0,8.3
6,7,Bridge,400,68.75,4.0625,32.0,8.36
7,8,BridgeAlt,200,91.8918918918919,2.4594594594594597,20.0,9.3
8,9,Catapult,100,87.5,3.75,42.0,7.98
9,10,Catapult,400,93.75,2.25,44.0,8.48
10,11,CatapultAlt,100,93.75,3.875,16.0,9.12
11,12,CatapultAlt,400,86.66666666666667,4.666666666666667,18.0,9.34
12,13,Chaining,100,81.25,5.4375,52.0,7.24
13,14,Chaining,400,75.0,5.5,34.0,8.2
14,15,Collapse,100,100.0,1.7058823529411764,100.0,2.32
15,16,Collapse,400,100.0,1.6,98.0,2.86
16,17,DoubleDown,100,94.11764705882352,3.0588235294117645,34.0,8.44
17,18,DoubleDown,400,100.0,2.6666666666666665,14.000000000000002,9.32
18,19,Falling_B,200,48.57142857142857,7.314285714285714,64.0,6.86
19,20,Falling_v2,200,69.44444444444444,5.0,52.0,7.78
20,21,Filler,200,94.5945945945946,2.4594594594594597,8.0,9.64
21,22,Launch_A,100,87.5,3.1875,88.0,4.42
22,23,Launch_A,400,100.0,1.8125,74.0,4.68
23,24,Launch_B,200,22.22222222222222,8.75,34.0,8.44
24,25,Remove,100,100.0,3.176470588235294,64.0,7.16
25,26,Remove,400,100.0,2.4,72.0,6.24
26,27,SeeSaw,100,52.94117647058824,6.294117647058823,2.0,9.98
27,28,SeeSaw,400,66.66666666666666,4.933333333333334,14.000000000000002,9.28
28,29,Shove,200,88.57142857142857,2.6285714285714286,100.0,2.3
29,30,Table_A,100,93.75,2.0625,30.0,8.52
30,31,Table_A,400,62.5,5.1875,20.0,9.46
31,32,Table_B,200,18.421052631578945,8.289473684210526,0.0,10.0
32,33,Table_v2,200,66.66666666666666,5.361111111111111,48.0,7.72
33,34,Towers_A,100,100.0,1.5,100.0,1.4
34,35,Towers_A,400,100.0,1.8666666666666667,100.0,1.3
35,36,Towers_B,100,56.25,6.6875,18.0,9.04
36,37,Towers_B,400,93.75,4.375,38.0,7.94
37,38,Unsupport,200,74.28571428571429,4.714285714285714,84.0,4.44
