game_name,game iter,trial_no,tool,posx,posy,success,total_attempt
BalanceUnder,0,1,obj1,201.1186939352232,196.74940839310716,False,11
BalanceUnder,0,2,obj1,53.477275368345275,557.1001731820031,False,11
BalanceUnder,0,3,obj1,161.0,481.0,False,11
BalanceUnder,0,4,obj3,169.95136896303384,190.57250034470678,False,11
BalanceUnder,0,5,obj3,318.08465268093903,323.9965552342466,False,11
BalanceUnder,0,6,obj3,429.1706559120538,223.02559461951788,False,11
BalanceUnder,0,7,obj3,315.70733865443253,328.54454647562756,False,11
BalanceUnder,0,8,obj2,427.27254484285675,472.08461757866843,False,11
BalanceUnder,0,9,obj3,29.0,454.0,False,11
BalanceUnder,0,10,obj2,357.79202465182215,316.468431991965,False,11
BalanceUnder,0,11,obj3,334.0,156.0,False,11
BalanceUnder,1,1,obj1,330.6181265477089,341.5558245245872,True,1
BalanceUnder,2,1,obj1,285.4533729681307,288.7571557012492,False,11
BalanceUnder,2,2,obj1,341.3262395066829,363.5315135335544,False,11
BalanceUnder,2,3,obj2,317.9522791224262,454.6609321188413,False,11
BalanceUnder,2,4,obj3,306.0,311.0,False,11
BalanceUnder,2,5,obj1,207.0,137.0,False,11
BalanceUnder,2,6,obj2,42.90766915807552,551.4149958020329,False,11
BalanceUnder,2,7,obj2,508.05944608959646,222.21468520729334,False,11
BalanceUnder,2,8,obj2,540.6471152866588,143.2098058893948,False,11
BalanceUnder,2,9,obj2,375.9407443640435,383.2452258616506,False,11
BalanceUnder,2,10,obj2,354.0796043632652,280.7732865650988,False,11
BalanceUnder,2,11,obj3,362.0,398.0,False,11
BalanceUnder,3,1,obj1,253.03394364240333,481.0429346438417,False,11
BalanceUnder,3,2,obj1,115.5409316546477,521.5314263239289,False,11
BalanceUnder,3,3,obj1,427.4900495643526,575.6395649521205,False,11
BalanceUnder,3,4,obj2,286.0,309.0,False,11
BalanceUnder,3,5,obj1,518.851645930199,432.43436997496707,False,11
BalanceUnder,3,6,obj3,147.9547964621392,142.04334339583116,False,11
BalanceUnder,3,7,obj3,202.0,394.0,False,11
BalanceUnder,3,8,obj3,34.0,572.0,False,11
BalanceUnder,3,9,obj2,43.51507228057237,348.7059855405532,False,11
BalanceUnder,3,10,obj2,524.5553296606481,407.46305909130126,False,11
BalanceUnder,3,11,obj2,175.04964114598914,532.0226161212063,False,11
BalanceUnder,4,1,obj3,167.0,341.0,True,7
BalanceUnder,4,2,obj1,116.16177707978972,172.96333860025345,True,7
BalanceUnder,4,3,obj3,170.0,405.0,True,7
BalanceUnder,4,4,obj3,144.37800894494143,151.77514803393865,True,7
BalanceUnder,4,5,obj2,464.33538219890346,467.9198912132598,True,7
BalanceUnder,4,6,obj2,230.96830977214188,497.4179848185879,True,7
BalanceUnder,4,7,obj2,267.1293689581796,291.9731513856609,True,7
BalanceUnder,5,1,obj1,395.7510347416794,389.00159512542496,True,7
BalanceUnder,5,2,obj3,403.2848054171353,401.44484071085606,True,7
BalanceUnder,5,3,obj3,31.0,345.0,True,7
BalanceUnder,5,4,obj3,440.83196724093375,437.5350082040205,True,7
BalanceUnder,5,5,obj2,443.5633706670444,495.7364527080506,True,7
BalanceUnder,5,6,obj2,500.73039744111475,288.20042875490765,True,7
BalanceUnder,5,7,obj1,323.0,315.0,True,7
BalanceUnder,6,1,obj3,367.0,263.0,False,11
BalanceUnder,6,2,obj2,186.0,168.0,False,11
BalanceUnder,6,3,obj3,353.3719676539089,146.42192658694103,False,11
BalanceUnder,6,4,obj2,163.0,472.0,False,11
BalanceUnder,6,5,obj1,22.0,392.0,False,11
BalanceUnder,6,6,obj2,516.5316001795633,348.780810803081,False,11
BalanceUnder,6,7,obj2,522.7615492015866,152.7918217991686,False,11
BalanceUnder,6,8,obj2,368.67175337665407,126.40640167783693,False,11
BalanceUnder,6,9,obj2,201.0,294.0,False,11
BalanceUnder,6,10,obj2,343.9089462383641,173.4078136744478,False,11
BalanceUnder,6,11,obj1,206.0,303.0,False,11
BalanceUnder,7,1,obj1,186.60484298821407,436.09541927514715,True,6
BalanceUnder,7,2,obj3,299.0,342.0,True,6
BalanceUnder,7,3,obj2,275.0,485.0,True,6
BalanceUnder,7,4,obj1,443.68932883616935,116.64196479246462,True,6
BalanceUnder,7,5,obj1,507.9075061940481,131.80715992418092,True,6
BalanceUnder,7,6,obj1,322.0265884573623,333.5919761008852,True,6
BalanceUnder,8,1,obj1,94.58681147824089,358.3766133026026,False,11
BalanceUnder,8,2,obj1,87.1586587443427,379.1464234402219,False,11
BalanceUnder,8,3,obj3,165.0,546.0,False,11
BalanceUnder,8,4,obj3,199.36804880354097,189.4312870437596,False,11
BalanceUnder,8,5,obj3,569.1462121643935,209.552856916962,False,11
BalanceUnder,8,6,obj3,84.47791384724127,173.49961204599447,False,11
BalanceUnder,8,7,obj1,28.0,464.0,False,11
BalanceUnder,8,8,obj3,560.7889082972317,476.12784432514013,False,11
BalanceUnder,8,9,obj3,342.77925343686223,413.87833413758875,False,11
BalanceUnder,8,10,obj2,193.70187721417975,429.66872340169516,False,11
BalanceUnder,8,11,obj2,180.21368561876164,188.0440914683076,False,11
BalanceUnder,9,1,obj1,148.0,374.0,True,3
BalanceUnder,9,2,obj1,147.43614595449586,148.90369999633322,True,3
BalanceUnder,9,3,obj3,282.8877067805564,304.8943333979504,True,3
BalanceUnder,10,1,obj1,49.0,512.0,True,4
BalanceUnder,10,2,obj2,299.0,396.0,True,4
BalanceUnder,10,3,obj1,539.1487076133533,427.60382944952426,True,4
BalanceUnder,10,4,obj3,262.0,273.0,True,4
BalanceUnder,11,1,obj1,560.9290908756502,170.94746648403077,False,11
BalanceUnder,11,2,obj2,311.0,352.0,False,11
BalanceUnder,11,3,obj1,523.0191447181172,514.9293041179736,False,11
BalanceUnder,11,4,obj1,425.5467166260423,537.6936698439831,False,11
BalanceUnder,11,5,obj1,402.848729260382,484.91007942702043,False,11
BalanceUnder,11,6,obj1,469.732690797956,106.2294183967351,False,11
BalanceUnder,11,7,obj1,378.06951815716116,363.8590070134028,False,11
BalanceUnder,11,8,obj1,384.8819159998635,483.66331278042367,False,11
BalanceUnder,11,9,obj2,320.0,436.0,False,11
BalanceUnder,11,10,obj3,141.0,431.0,False,11
BalanceUnder,11,11,obj3,88.30508278122349,510.95139460315653,False,11
BalanceUnder,12,1,obj3,346.04475371665075,546.7677415166864,False,11
BalanceUnder,12,2,obj2,347.93834801813836,348.74268636685224,False,11
BalanceUnder,12,3,obj2,325.01152285574506,434.5705460736734,False,11
BalanceUnder,12,4,obj2,35.0,233.0,False,11
BalanceUnder,12,5,obj1,24.0,321.0,False,11
BalanceUnder,12,6,obj2,522.7164246041059,208.77951083385597,False,11
BalanceUnder,12,7,obj2,521.760341944978,344.9553650676547,False,11
BalanceUnder,12,8,obj1,438.37501374327337,306.4993310717376,False,11
BalanceUnder,12,9,obj1,506.0118011105465,397.18583678117017,False,11
BalanceUnder,12,10,obj1,346.0,258.0,False,11
BalanceUnder,12,11,obj1,556.2539226196491,228.84257239708631,False,11
BalanceUnder,13,1,obj1,187.5846929744309,169.77072711026057,False,11
BalanceUnder,13,2,obj1,189.311180282882,187.49612012610874,False,11
BalanceUnder,13,3,obj1,223.7098563561475,466.0342285959506,False,11
BalanceUnder,13,4,obj2,187.0,339.0,False,11
BalanceUnder,13,5,obj1,576.191581840427,294.3181236229955,False,11
BalanceUnder,13,6,obj2,163.0,469.0,False,11
BalanceUnder,13,7,obj2,346.0,444.0,False,11
BalanceUnder,13,8,obj1,326.3500842680884,272.3522449586776,False,11
BalanceUnder,13,9,obj3,319.9760195781343,336.0753676979889,False,11
BalanceUnder,13,10,obj3,314.11790288974294,270.89207434693475,False,11
BalanceUnder,13,11,obj3,309.93706180402836,310.4671118263948,False,11
BalanceUnder,14,1,obj1,350.7121246418562,148.94643957750358,True,2
BalanceUnder,14,2,obj1,324.67444696602666,277.01862998625444,True,2
BalanceUnder,15,1,obj1,154.0,503.0,True,7
BalanceUnder,15,2,obj1,126.85848655875942,140.740104322629,True,7
BalanceUnder,15,3,obj1,547.7262050731081,445.5211862761896,True,7
BalanceUnder,15,4,obj2,155.0,330.0,True,7
BalanceUnder,15,5,obj3,154.20715027877162,144.30878465701656,True,7
BalanceUnder,15,6,obj1,153.0,465.0,True,7
BalanceUnder,15,7,obj1,348.0,265.0,True,7
BalanceUnder,16,1,obj1,578.3834539399583,196.13053017853463,True,9
BalanceUnder,16,2,obj1,151.71634662864534,557.1479796758478,True,9
BalanceUnder,16,3,obj1,523.5266111576111,334.3726406539038,True,9
BalanceUnder,16,4,obj1,559.2121077101012,378.6687783048383,True,9
BalanceUnder,16,5,obj2,199.0,526.0,True,9
BalanceUnder,16,6,obj3,361.0,276.0,True,9
BalanceUnder,16,7,obj3,356.53266999118165,299.2018387379625,True,9
BalanceUnder,16,8,obj2,132.0965985782853,146.98345029436013,True,9
BalanceUnder,16,9,obj3,281.0,264.0,True,9
BalanceUnder,17,1,obj1,313.5927948275595,296.63316742190057,True,1
BalanceUnder,18,1,obj1,511.94244148932444,209.7153694803828,True,2
BalanceUnder,18,2,obj1,307.56394247958383,295.1931775382823,True,2
BalanceUnder,19,1,obj1,486.3398858290585,484.53662881050036,True,8
BalanceUnder,19,2,obj1,528.2741399247282,552.7263070473108,True,8
BalanceUnder,19,3,obj1,370.5074956611255,128.42752954447576,True,8
BalanceUnder,19,4,obj1,447.28998458337844,132.2168475362279,True,8
BalanceUnder,19,5,obj1,218.76906743054838,418.3049430458461,True,8
BalanceUnder,19,6,obj1,371.8522540759755,202.88049963173142,True,8
BalanceUnder,19,7,obj1,562.9183506482619,246.59972444250613,True,8
BalanceUnder,19,8,obj1,308.94868509366836,278.9768226895477,True,8
BalanceUnder,20,1,obj1,202.47679793257734,196.69248878767746,True,7
BalanceUnder,20,2,obj1,353.7921289693112,415.47425038643024,True,7
BalanceUnder,20,3,obj1,476.9267629464892,421.3871444966054,True,7
