game_name,game iter,trial_no,tool,posx,posy,success,total_attempt
Unbox,0,1,obj1,378.42154410640785,372.95765185279464,True,2
Unbox,0,2,obj2,545.0,331.0,True,2
Unbox,1,1,obj3,371.61702510521144,383.36015082494265,True,3
Unbox,1,2,obj2,526.6311446551481,543.5975874265563,True,3
Unbox,1,3,obj2,499.910858618054,526.893093217352,True,3
Unbox,2,1,obj1,564.5746028309063,543.3931297355178,True,1
Unbox,3,1,obj1,515.7162116625037,516.9462731092298,True,1
Unbox,4,1,obj1,558.0090085253546,541.4956293372712,True,1
Unbox,5,1,obj1,348.61872328491756,346.67172002454186,True,1
Unbox,6,1,obj3,375.0,194.0,True,3
Unbox,6,2,obj1,366.20218797594015,375.52869621259015,True,3
Unbox,6,3,obj3,351.5512854535294,355.4195048584304,True,3
Unbox,7,1,obj1,343.0,373.0,True,1
Unbox,8,1,obj1,428.98847158198464,426.8372138042224,True,9
Unbox,8,2,obj1,409.8202436524248,404.566676594771,True,9
Unbox,8,3,obj1,382.5798523400536,253.52222511691613,True,9
Unbox,8,4,obj1,96.0,455.0,True,9
Unbox,8,5,obj1,100.77477838410563,488.0534654947813,True,9
Unbox,8,6,obj1,113.22118827786697,492.92528210709816,True,9
Unbox,8,7,obj1,431.8083162544368,507.26687860108876,True,9
Unbox,8,8,obj2,526.0,331.0,True,9
Unbox,8,9,obj1,566.9458524417856,420.38625326553955,True,9
Unbox,9,1,obj2,375.0,401.0,True,3
Unbox,9,2,obj3,133.0,514.0,True,3
Unbox,9,3,obj1,554.6093820639654,266.41126317835494,True,3
Unbox,10,1,obj1,109.0,533.0,True,1
Unbox,11,1,obj1,427.27518178304354,415.3775489529371,True,3
Unbox,11,2,obj1,429.079308183218,443.18485705283393,True,3
Unbox,11,3,obj1,346.0,347.0,True,3
Unbox,12,1,obj1,451.779437990216,524.1184797627457,True,3
Unbox,12,2,obj1,459.17918427368966,459.88713914043916,True,3
Unbox,12,3,obj1,529.0,265.0,True,3
Unbox,13,1,obj1,557.5798849903831,554.8430920238902,True,1
Unbox,14,1,obj1,324.83720258322694,317.60140351449644,True,1
Unbox,15,1,obj1,521.0,237.0,True,1
Unbox,16,1,obj1,416.52366252764153,421.25151660595924,True,2
Unbox,16,2,obj2,545.0,290.0,True,2
Unbox,17,1,obj3,477.16400187089624,473.128266107225,True,3
Unbox,17,2,obj1,142.0,549.0,True,3
Unbox,17,3,obj3,289.49598947264417,287.0331158570851,True,3
Unbox,18,1,obj1,563.5535835552266,285.57734442685455,True,1
Unbox,19,1,obj3,460.8917341635686,464.3133992447321,True,3
Unbox,19,2,obj2,109.0,411.0,True,3
Unbox,19,3,obj3,343.0,446.0,True,3
Unbox,20,1,obj1,389.9567574249665,372.2759004453489,True,2
Unbox,20,2,obj2,546.0,355.0,True,2
Unbox,21,1,obj1,351.00840187378054,323.4995712881367,True,1
Unbox,22,1,obj1,224.0153579742268,337.48843797613085,True,1
Unbox,23,1,obj1,378.4587412963385,387.07465103812467,True,2
Unbox,23,2,obj1,548.2204371910233,386.81760967787426,True,2
Unbox,24,1,obj1,457.1537738910814,470.5103157759512,True,3
Unbox,24,2,obj3,88.0,477.0,True,3
Unbox,24,3,obj1,545.1137215115011,564.7936949991073,True,3
Unbox,25,1,obj1,506.02715692827195,500.37419910309495,True,1
Unbox,26,1,obj1,345.0,349.0,True,1
Unbox,27,1,obj1,137.0,430.0,True,4
Unbox,27,2,obj2,371.68226405290267,382.61607492451606,True,4
Unbox,27,3,obj2,122.0,519.0,True,4
Unbox,27,4,obj2,560.113034657352,460.23019336055825,True,4
Unbox,28,1,obj2,140.0,467.0,True,2
Unbox,28,2,obj1,278.088955917396,292.3017723844209,True,2
Unbox,29,1,obj1,368.2367695699466,381.4427770819159,True,3
Unbox,29,2,obj1,365.9346624479091,257.6913952583312,True,3
Unbox,29,3,obj1,353.4707006655649,244.45638301275665,True,3
Unbox,30,1,obj1,468.33187210578245,461.90036245546304,True,3
Unbox,30,2,obj1,324.05355993054684,313.0128656857479,True,3
Unbox,30,3,obj1,533.2511023565628,316.83993383866965,True,3
Unbox,31,1,obj1,478.72098992333844,253.20503837761225,True,6
Unbox,31,2,obj3,482.4368546184252,486.61555182546635,True,6
Unbox,31,3,obj3,145.0,475.0,True,6
Unbox,31,4,obj3,428.2563187486506,428.2593950430565,True,6
Unbox,31,5,obj3,407.72369535637023,406.1327870651845,True,6
Unbox,31,6,obj2,93.0,538.0,True,6
Unbox,32,1,obj1,531.4569122568709,529.0565234601314,True,1
Unbox,33,1,obj1,350.84825728756334,395.73848081812815,True,1
Unbox,34,1,obj1,501.21549736307514,495.70451637359326,True,3
Unbox,34,2,obj1,489.0,456.0,True,3
Unbox,34,3,obj2,558.0,272.0,True,3
Unbox,35,1,obj1,136.76673374043816,401.73465067034203,True,2
Unbox,35,2,obj1,151.0,439.0,True,2
Unbox,36,1,obj1,350.75499835338644,273.9115594220366,True,1
Unbox,37,1,obj1,524.5112619339571,525.5294658038857,True,1
