,game_name,tries,accuracy
0,Bridge,1,0.0
1,Bridge,2,4.0
2,Bridge,3,8.0
3,Bridge,4,16.0
4,Bridge,5,24.0
5,Bridge,6,26.0
6,Bridge,7,28.000000000000004
7,Bridge,8,30.0
8,Bridge,9,34.0
9,Bridge,10,36.0
10,Catapult,1,8.0
11,Catapult,2,10.0
12,Catapult,3,16.0
13,Catapult,4,18.0
14,Catapult,5,26.0
15,Catapult,6,28.000000000000004
16,Catapult,7,30.0
17,Catapult,8,32.0
18,Catapult,9,34.0
19,Catapult,10,42.0
20,Chaining,1,8.0
21,Chaining,2,10.0
22,Chaining,3,24.0
23,Chaining,4,30.0
24,Chaining,5,32.0
25,Chaining,6,38.0
26,Chaining,7,42.0
27,Chaining,8,46.0
28,Chaining,9,46.0
29,Chaining,10,52.0
30,Collapse,1,48.0
31,Collapse,2,64.0
32,Collapse,3,82.0
33,Collapse,4,86.0
34,Collapse,5,94.0
35,Collapse,6,96.0
36,Collapse,7,98.0
37,Collapse,8,100.0
38,Collapse,9,100.0
39,Collapse,10,100.0
40,Launch_A,1,26.0
41,Launch_A,2,38.0
42,Launch_A,3,52.0
43,Launch_A,4,62.0
44,Launch_A,5,64.0
45,Launch_A,6,68.0
46,Launch_A,7,76.0
47,Launch_A,8,84.0
48,Launch_A,9,88.0
49,Launch_A,10,88.0
50,Remove,1,6.0
51,Remove,2,14.000000000000002
52,Remove,3,18.0
53,Remove,4,24.0
54,Remove,5,28.000000000000004
55,Remove,6,42.0
56,Remove,7,42.0
57,Remove,8,50.0
58,Remove,9,60.0
59,Remove,10,64.0
60,SeeSaw,1,0.0
61,SeeSaw,2,0.0
62,SeeSaw,3,0.0
63,SeeSaw,4,0.0
64,SeeSaw,5,0.0
65,SeeSaw,6,0.0
66,SeeSaw,7,0.0
67,SeeSaw,8,0.0
68,SeeSaw,9,2.0
69,SeeSaw,10,2.0
70,Table_A,1,2.0
71,Table_A,2,12.0
72,Table_A,3,12.0
73,Table_A,4,12.0
74,Table_A,5,20.0
75,Table_A,6,20.0
76,Table_A,7,20.0
77,Table_A,8,22.0
78,Table_A,9,28.000000000000004
79,Table_A,10,30.0
