,game_name,tries,accuracy
0,Balance,1,2.0
1,Balance,2,2.0
2,Balance,3,6.0
3,Balance,4,6.0
4,Balance,5,8.0
5,Balance,6,8.0
6,Balance,7,16.0
7,Balance,8,18.0
8,Balance,9,18.0
9,Balance,10,20.0
10,Falling_B,1,8.0
11,Falling_B,2,16.0
12,Falling_B,3,24.0
13,Falling_B,4,28.000000000000004
14,Falling_B,5,34.0
15,Falling_B,6,44.0
16,Falling_B,7,48.0
17,Falling_B,8,54.0
18,Falling_B,9,57.99999999999999
19,Falling_B,10,64.0
20,Falling_v2,1,4.0
21,Falling_v2,2,10.0
22,Falling_v2,3,18.0
23,Falling_v2,4,20.0
24,Falling_v2,5,26.0
25,Falling_v2,6,28.000000000000004
26,Falling_v2,7,34.0
27,Falling_v2,8,40.0
28,Falling_v2,9,42.0
29,Falling_v2,10,52.0
30,Launch_B,1,4.0
31,Launch_B,2,6.0
32,Launch_B,3,8.0
33,Launch_B,4,16.0
34,Launch_B,5,16.0
35,Launch_B,6,20.0
36,Launch_B,7,26.0
37,Launch_B,8,30.0
38,Launch_B,9,30.0
39,Launch_B,10,34.0
40,Shove,1,62.0
41,Shove,2,70.0
42,Shove,3,80.0
43,Shove,4,80.0
44,Shove,5,92.0
45,Shove,6,94.0
46,Shove,7,96.0
47,Shove,8,98.0
48,Shove,9,98.0
49,Shove,10,100.0
50,Table_B,1,0.0
51,Table_B,2,0.0
52,Table_B,3,0.0
53,Table_B,4,0.0
54,Table_B,5,0.0
55,Table_B,6,0.0
56,Table_B,7,0.0
57,Table_B,8,0.0
58,Table_B,9,0.0
59,Table_B,10,0.0
60,Table_v2,1,2.0
61,Table_v2,2,6.0
62,Table_v2,3,16.0
63,Table_v2,4,26.0
64,Table_v2,5,30.0
65,Table_v2,6,32.0
66,Table_v2,7,36.0
67,Table_v2,8,38.0
68,Table_v2,9,42.0
69,Table_v2,10,48.0
70,Unsupport,1,18.0
71,Unsupport,2,38.0
72,Unsupport,3,50.0
73,Unsupport,4,62.0
74,Unsupport,5,68.0
75,Unsupport,6,74.0
76,Unsupport,7,80.0
77,Unsupport,8,82.0
78,Unsupport,9,84.0
79,Unsupport,10,84.0
