game_name,game iter,trial_no,tool,posx,posy,success,total_attempt
Backup,0,1,obj1,264.8777115719459,234.30763975356402,False,11
Backup,0,2,obj1,269.35809261410014,257.34036253850866,False,11
Backup,0,3,obj1,274.0979594060588,275.28289029940896,False,11
Backup,0,4,obj1,286.1825051276003,283.2819174996393,False,11
Backup,0,5,obj1,167.89114378967054,248.36381653152222,False,11
Backup,0,6,obj1,222.0,324.0,False,11
Backup,0,7,obj2,269.0,541.0,False,11
Backup,0,8,obj1,81.28103339536088,182.30833861429795,False,11
Backup,0,9,obj1,188.39865743167422,196.24724723314682,False,11
Backup,0,10,obj1,220.0,184.0,False,11
Backup,0,11,obj3,211.49197178913593,127.75354228736276,False,11
Backup,1,1,obj3,263.31824517669656,249.40517669565367,True,2
Backup,1,2,obj3,259.49780503380623,548.8738581475814,True,2
Backup,2,1,obj1,203.50964546173208,206.39573516286328,True,3
Backup,2,2,obj3,252.0,216.0,True,3
Backup,2,3,obj3,252.70198082074148,500.6159831849099,True,3
Backup,3,1,obj1,221.37551722498023,225.81739429343588,True,3
Backup,3,2,obj1,216.76402567073714,190.1214297182973,True,3
Backup,3,3,obj2,255.0,544.0,True,3
Backup,4,1,obj2,258.0,532.0,True,1
Backup,5,1,obj1,405.6100885706071,398.1622575589938,True,3
Backup,5,2,obj3,257.0,497.0,True,3
Backup,5,3,obj1,267.23401669858947,542.2254179838163,True,3
Backup,6,1,obj1,248.1916924167148,156.29195786441204,False,11
Backup,6,2,obj1,263.9336998530766,258.90367861525243,False,11
Backup,6,3,obj3,285.3376035094529,277.9441288907037,False,11
Backup,6,4,obj3,249.77138753147958,237.16562186963517,False,11
Backup,6,5,obj2,251.0,155.0,False,11
Backup,6,6,obj2,215.31248296433517,291.4410218523793,False,11
Backup,6,7,obj2,253.19131699728337,256.926161811773,False,11
Backup,6,8,obj2,245.5894323410974,193.8041791182531,False,11
Backup,6,9,obj3,239.0,481.0,False,11
Backup,6,10,obj2,356.916981237748,241.60743398204903,False,11
Backup,6,11,obj2,196.54611114088448,474.2176915698628,False,11
Backup,7,1,obj3,227.0,161.0,False,11
Backup,7,2,obj3,207.0,272.0,False,11
Backup,7,3,obj3,560.7770267381925,58.84640623321448,False,11
Backup,7,4,obj2,228.0,235.0,False,11
Backup,7,5,obj2,259.0,269.0,False,11
Backup,7,6,obj2,267.0,247.0,False,11
Backup,7,7,obj2,263.2681863517419,257.8322092283471,False,11
Backup,7,8,obj2,439.9781286877014,423.0062824270101,False,11
Backup,7,9,obj1,227.0,242.0,False,11
Backup,7,10,obj3,267.0,578.0,False,11
Backup,7,11,obj2,243.0,536.0,False,11
Backup,8,1,obj1,259.0,499.0,True,1
Backup,9,1,obj1,237.8583414279564,240.48120035354327,True,5
Backup,9,2,obj1,259.0464521043308,253.4609855372662,True,5
Backup,9,3,obj3,247.74183055612883,239.69092210268008,True,5
Backup,9,4,obj3,245.23705729465223,224.0517691082841,True,5
Backup,9,5,obj1,279.16439415696004,545.695078580766,True,5
Backup,10,1,obj3,237.0,527.0,True,4
Backup,10,2,obj1,227.11721700751713,217.69151703463191,True,4
Backup,10,3,obj2,242.0,275.0,True,4
Backup,10,4,obj1,270.9937009033637,511.51453768200645,True,4
Backup,11,1,obj1,217.0,487.0,True,2
Backup,11,2,obj2,261.0,534.0,True,2
Backup,12,1,obj2,246.0,144.0,False,11
Backup,12,2,obj3,209.0,311.0,False,11
Backup,12,3,obj1,201.3191551305919,188.2136616820472,False,11
Backup,12,4,obj3,213.86201313854133,207.19572335752076,False,11
Backup,12,5,obj3,145.66279737883667,209.9049818242824,False,11
Backup,12,6,obj3,267.0,559.0,False,11
Backup,12,7,obj1,551.9333909727499,215.87319865838663,False,11
Backup,12,8,obj1,220.03156040445225,454.6984130504694,False,11
Backup,12,9,obj2,212.92411281083085,219.26322550867823,False,11
Backup,12,10,obj2,236.54217443041708,262.87835260125377,False,11
Backup,12,11,obj2,223.01716473238733,280.8862522701245,False,11
Backup,13,1,obj1,234.6788867802254,231.17086487981527,False,11
Backup,13,2,obj2,229.0,156.0,False,11
Backup,13,3,obj1,232.72409545235246,231.48403226204314,False,11
Backup,13,4,obj1,202.03491191809678,123.70367371594054,False,11
Backup,13,5,obj1,52.123728088559204,312.14462380008104,False,11
Backup,13,6,obj1,219.23927187143408,162.98528059739056,False,11
Backup,13,7,obj3,267.0,569.0,False,11
Backup,13,8,obj1,201.68045883735994,306.1679449822726,False,11
Backup,13,9,obj1,168.71162027351062,472.46466993217757,False,11
Backup,13,10,obj1,52.39268961722925,423.4716104102376,False,11
Backup,13,11,obj3,509.4569719447194,202.43566942989304,False,11
Backup,14,1,obj1,222.41967307302923,227.89342790501857,True,6
Backup,14,2,obj3,223.07496094311387,216.7894188494267,True,6
Backup,14,3,obj1,40.19014349854446,33.57548722861009,True,6
Backup,14,4,obj1,62.093956177918955,146.1959898010083,True,6
Backup,14,5,obj1,450.08007350873277,83.86464936965524,True,6
Backup,14,6,obj1,270.0,521.0,True,6
Backup,15,1,obj1,217.1334990581098,214.32503524687945,True,4
Backup,15,2,obj1,230.0,468.0,True,4
Backup,15,3,obj3,257.0,327.0,True,4
Backup,15,4,obj2,255.0,535.0,True,4
Backup,16,1,obj1,262.3865705951518,264.7300700891314,True,2
Backup,16,2,obj1,272.0,488.0,True,2
Backup,17,1,obj3,213.94485238253313,181.8790942779225,False,11
Backup,17,2,obj1,250.80355817610726,253.3391614270835,False,11
Backup,17,3,obj3,255.0,183.0,False,11
Backup,17,4,obj2,283.72519834075354,278.18920905862075,False,11
Backup,17,5,obj1,253.0,163.0,False,11
Backup,17,6,obj2,217.19844210948668,251.44983927317793,False,11
Backup,17,7,obj2,132.19115690921376,374.97314813456217,False,11
Backup,17,8,obj2,479.0904474084533,483.70414319203246,False,11
Backup,17,9,obj2,113.62022512307095,313.3456046342677,False,11
Backup,17,10,obj2,547.129047202643,501.4475786181637,False,11
Backup,17,11,obj1,258.0,299.0,False,11
Backup,18,1,obj1,213.54947214593201,211.68620262153323,True,5
Backup,18,2,obj3,207.0,560.0,True,5
Backup,18,3,obj3,272.28648379054675,239.72665859129765,True,5
Backup,18,4,obj3,168.9073555918372,569.7732311455409,True,5
Backup,18,5,obj1,254.0,474.0,True,5
Backup,19,1,obj1,196.0439770983539,215.94374561786583,True,11
Backup,19,2,obj1,271.0,571.0,True,11
Backup,19,3,obj3,216.0,285.0,True,11
Backup,19,4,obj1,263.9441046975233,270.8055902650795,True,11
Backup,19,5,obj1,561.8439447103126,230.58499357274866,True,11
Backup,19,6,obj1,410.2814304846853,400.2309622504967,True,11
Backup,19,7,obj2,240.0,248.0,True,11
Backup,19,8,obj3,245.17271014083076,244.47981304015275,True,11
Backup,19,9,obj2,246.04075718602715,173.14320510622997,True,11
Backup,19,10,obj2,225.04717513093135,230.99000649671513,True,11
Backup,19,11,obj1,259.0,464.0,True,11
Backup,20,1,obj1,420.07606070416324,261.89034370403357,True,10
Backup,20,2,obj2,212.0,463.0,True,10
Backup,20,3,obj3,209.92523585134975,216.29480229434566,True,10
Backup,20,4,obj1,32.99606694144995,223.73066661017225,True,10
Backup,20,5,obj3,267.5913021168769,247.8944012739989,True,10
Backup,20,6,obj3,109.48624127844187,502.56747659839493,True,10
Backup,20,7,obj3,503.396510184318,328.7791611423979,True,10
Backup,20,8,obj3,544.9776351456961,132.84745580647854,True,10
Backup,20,9,obj3,530.3599505760842,413.9697864072881,True,10
Backup,20,10,obj2,261.0,524.0,True,10
Backup,21,1,obj1,226.0,465.0,False,11
Backup,21,2,obj1,248.13767854299914,255.8037473262246,False,11
Backup,21,3,obj1,234.9310417507338,294.56205800178685,False,11
Backup,21,4,obj1,222.720970156891,571.2792607838644,False,11
Backup,21,5,obj2,228.0,249.0,False,11
Backup,21,6,obj3,217.17061644347513,229.0707983706123,False,11
Backup,21,7,obj3,274.11172768669445,532.2052881373618,False,11
Backup,21,8,obj3,314.9124257015573,251.2977689886556,False,11
Backup,21,9,obj3,551.0915469997119,485.45354873339033,False,11
Backup,21,10,obj3,220.0,158.0,False,11
Backup,21,11,obj3,220.0,312.0,False,11
Backup,22,1,obj1,241.8139327185202,228.66899170452334,True,2
Backup,22,2,obj2,254.0,473.0,True,2
Backup,23,1,obj3,234.0,322.0,False,11
Backup,23,2,obj2,545.2778513318657,209.5996308234037,False,11
Backup,23,3,obj2,310.5627774828379,175.94366892475335,False,11
Backup,23,4,obj1,265.0,576.0,False,11
Backup,23,5,obj3,255.0,558.0,False,11
Backup,23,6,obj3,244.0,133.0,False,11
Backup,23,7,obj1,113.40139911405387,122.91838029069496,False,11
Backup,23,8,obj2,208.0,512.0,False,11
Backup,23,9,obj1,555.4490132622898,506.29605403270165,False,11
Backup,23,10,obj1,419.6067595153577,187.3123952749109,False,11
Backup,23,11,obj1,431.4439507434628,519.1313382780077,False,11
Backup,24,1,obj1,243.03550309124765,224.96362794373326,True,5
Backup,24,2,obj1,245.58509461847893,238.11974603725653,True,5
Backup,24,3,obj1,298.15194385384564,559.2437379814631,True,5
Backup,24,4,obj3,54.32673145408009,66.30705406122468,True,5
Backup,24,5,obj3,260.0,577.0,True,5
Backup,25,1,obj1,215.512854987697,204.28037935391328,False,11
Backup,25,2,obj3,368.53112639215595,237.62951592388697,False,11
Backup,25,3,obj1,271.0,240.0,False,11
Backup,25,4,obj3,233.0,513.0,False,11
Backup,25,5,obj3,266.05089357076173,272.2369544225816,False,11
Backup,25,6,obj2,213.0,171.0,False,11
Backup,25,7,obj1,249.0,320.0,False,11
Backup,25,8,obj1,400.1465552808432,462.42828485684026,False,11
Backup,25,9,obj1,413.7616792993616,394.2265409582904,False,11
Backup,25,10,obj1,525.0215376643799,544.3622357989368,False,11
Backup,25,11,obj1,143.5296385933246,315.29384686104567,False,11
Backup,26,1,obj1,229.60303925600226,220.63244873636472,False,11
Backup,26,2,obj1,551.6040870766456,546.7511489758018,False,11
Backup,26,3,obj3,242.0,167.0,False,11
Backup,26,4,obj1,366.1382348103071,534.1009200440589,False,11
Backup,26,5,obj1,410.90114256006933,258.31335517777353,False,11
Backup,26,6,obj3,408.16349247542047,462.64698011482506,False,11
Backup,26,7,obj2,168.07348563749053,430.26691706888204,False,11
Backup,26,8,obj1,269.0,186.0,False,11
Backup,26,9,obj2,105.60371358913656,150.14207079942125,False,11
Backup,26,10,obj2,105.31048647105911,388.8574524035391,False,11
Backup,26,11,obj2,491.8166897795935,277.04753791967977,False,11
Backup,27,1,obj1,209.0,289.0,True,6
Backup,27,2,obj3,259.02919153043365,252.66262244235122,True,6
Backup,27,3,obj1,258.7216921221934,261.74016059316165,True,6
Backup,27,4,obj1,170.85008477598333,214.3008327854187,True,6
Backup,27,5,obj1,319.46298347687684,238.8575257580638,True,6
Backup,27,6,obj1,269.0,553.0,True,6
Backup,28,1,obj2,254.0,499.0,True,1
Backup,29,1,obj1,166.98855734716673,167.58879356170138,True,2
Backup,29,2,obj3,256.0,498.0,True,2
Backup,30,1,obj1,205.27853877765563,214.62010390688636,False,11
Backup,30,2,obj1,185.1170869937922,213.78680281268524,False,11
Backup,30,3,obj1,203.89771112540336,213.32884144366028,False,11
Backup,30,4,obj1,235.11801689619443,249.72592412170167,False,11
Backup,30,5,obj3,273.29385204460175,269.0253525841883,False,11
Backup,30,6,obj3,270.0909486003905,566.0780850463353,False,11
Backup,30,7,obj3,413.41068197070894,572.0763341035548,False,11
Backup,30,8,obj3,186.68513979433493,358.35928614578063,False,11
Backup,30,9,obj2,243.0587620966074,554.0257512831117,False,11
Backup,30,10,obj2,60.60074349644256,482.289557425211,False,11
Backup,30,11,obj2,175.415677739985,431.3052127651674,False,11
Backup,31,1,obj2,263.0,201.0,False,11
Backup,31,2,obj1,40.63926302168186,251.80011001343954,False,11
Backup,31,3,obj3,206.6807762475679,219.33442071022296,False,11
Backup,31,4,obj3,214.22638831898294,250.11226488820446,False,11
Backup,31,5,obj2,294.7514509623886,200.2928865906273,False,11
Backup,31,6,obj2,54.74236508301345,249.31379989973823,False,11
Backup,31,7,obj2,19.73425814087679,178.43123361137555,False,11
Backup,31,8,obj2,351.31855972146013,489.88159542138254,False,11
Backup,31,9,obj2,18.186587670023357,466.8580874746596,False,11
Backup,31,10,obj2,543.0010515719575,462.8951521873981,False,11
Backup,31,11,obj2,76.7274884896641,341.8692866133124,False,11
Backup,32,1,obj1,210.49869156115318,202.69720408341914,True,9
Backup,32,2,obj1,226.66554380350314,231.1340338275313,True,9
Backup,32,3,obj3,262.0,534.0,True,9
Backup,32,4,obj3,263.55683985238244,264.609072919224,True,9
Backup,32,5,obj2,21.28486087762309,113.65195378239127,True,9
Backup,32,6,obj2,381.8410487327612,141.92703803368414,True,9
Backup,32,7,obj2,556.5229812711204,257.0014089844166,True,9
Backup,32,8,obj2,231.0,494.0,True,9
Backup,32,9,obj1,270.0,484.0,True,9
Backup,33,1,obj3,233.0,271.0,False,11
Backup,33,2,obj3,265.0,206.0,False,11
Backup,33,3,obj2,333.94272454410606,553.529203240165,False,11
Backup,33,4,obj3,214.0,267.0,False,11
Backup,33,5,obj3,221.0,543.0,False,11
Backup,33,6,obj3,228.31390237643348,227.7849152974577,False,11
Backup,33,7,obj2,261.0,141.0,False,11
Backup,33,8,obj1,262.7168723002101,264.26264256791984,False,11
Backup,33,9,obj1,62.598676943133626,506.4989921663037,False,11
Backup,33,10,obj3,205.0,494.0,False,11
Backup,33,11,obj1,205.66668055083656,171.2273020839038,False,11
Backup,34,1,obj1,256.5469892436735,479.6165079689039,True,1
Backup,35,1,obj1,251.80237911995243,265.59327081939324,True,2
Backup,35,2,obj1,265.41157552432526,528.5762968346341,True,2
Backup,36,1,obj1,35.51798385207175,23.814625406471222,False,11
Backup,36,2,obj1,562.7760478564214,64.68534473521416,False,11
Backup,36,3,obj1,67.09369334517558,473.8037712789051,False,11
Backup,36,4,obj1,225.0691148700823,323.82232437196217,False,11
Backup,36,5,obj3,203.33765803271265,219.9276211807146,False,11
Backup,36,6,obj3,241.0,573.0,False,11
Backup,36,7,obj3,235.37034287319813,224.69447785268193,False,11
Backup,36,8,obj3,561.7095622344252,39.218726105151845,False,11
Backup,36,9,obj3,151.8912192807548,488.0358333701372,False,11
Backup,36,10,obj3,315.02188918899554,134.82820126586765,False,11
Backup,36,11,obj3,227.5914846430819,286.50358060366693,False,11
Backup,37,1,obj1,257.78742516792795,258.1310006339675,False,11
Backup,37,2,obj1,394.31816182086783,430.6362404995134,False,11
Backup,37,3,obj3,231.01550998233833,231.54562406064434,False,11
Backup,37,4,obj3,541.0361837146313,568.2903461429777,False,11
Backup,37,5,obj3,233.0,463.0,False,11
Backup,37,6,obj2,259.557874194301,256.574541644825,False,11
Backup,37,7,obj3,262.0,322.0,False,11
Backup,37,8,obj2,276.9288908097998,285.1101444244954,False,11
Backup,37,9,obj3,212.0,281.0,False,11
Backup,37,10,obj2,202.43733564856316,421.42966669077606,False,11
Backup,37,11,obj2,226.0203798109168,480.82236858906754,False,11
Backup,38,1,obj3,258.0,215.0,False,11
Backup,38,2,obj1,252.21728563009967,262.9294523258333,False,11
Backup,38,3,obj1,568.3625412814475,223.3806829855376,False,11
Backup,38,4,obj1,223.0,304.0,False,11
Backup,38,5,obj3,270.0,133.0,False,11
Backup,38,6,obj1,74.92881339885906,456.07460454019883,False,11
Backup,38,7,obj1,385.6503691297482,141.75772554365594,False,11
Backup,38,8,obj1,561.8635688383479,331.16071153323935,False,11
Backup,38,9,obj1,528.4779407398944,497.7456096019713,False,11
Backup,38,10,obj3,266.0,166.0,False,11
Backup,38,11,obj1,241.0,192.0,False,11
Backup,39,1,obj1,267.0,538.0,True,1
Backup,40,1,obj1,232.4368564325012,239.65637764143503,True,9
Backup,40,2,obj1,238.7958455229835,471.98780460932016,True,9
Backup,40,3,obj3,213.68005351257202,217.6182311564288,True,9
Backup,40,4,obj1,189.88990576345006,156.26690981526153,True,9
Backup,40,5,obj3,205.0,569.0,True,9
Backup,40,6,obj1,215.75499428935677,573.784429979494,True,9
Backup,40,7,obj3,262.0,326.0,True,9
Backup,40,8,obj1,248.13028723474346,255.19791374690107,True,9
Backup,40,9,obj2,260.0,557.0,True,9
Backup,41,1,obj1,229.0,225.0,True,3
Backup,41,2,obj3,232.45956253258285,225.2794257772613,True,3
Backup,41,3,obj3,256.46385736985394,515.337014990007,True,3
Backup,42,1,obj1,324.4121090260786,324.8606115819518,False,11
Backup,42,2,obj3,269.0,187.0,False,11
Backup,42,3,obj1,428.4063160398777,290.7415553642801,False,11
Backup,42,4,obj1,138.65456630646588,493.5424971047964,False,11
Backup,42,5,obj1,523.5679654038611,380.99405786043235,False,11
Backup,42,6,obj1,556.5933879966249,258.7648376839478,False,11
Backup,42,7,obj1,252.0,243.0,False,11
Backup,42,8,obj3,250.0,317.0,False,11
Backup,42,9,obj3,250.81822915693397,253.7330445376717,False,11
Backup,42,10,obj1,93.143983362267,240.95026554189107,False,11
