game_name,game iter,trial_no,tool,posx,posy,success,total_attempt
Launch_v2,0,1,obj1,70.0,325.0,True,2
Launch_v2,0,2,obj1,88.0,442.0,True,2
Launch_v2,1,1,obj1,89.0,434.0,True,1
Launch_v2,2,1,obj2,93.0,399.0,True,3
Launch_v2,2,2,obj1,79.61066848704372,351.746162514096,True,3
Launch_v2,2,3,obj2,134.0,416.0,True,3
Launch_v2,3,1,obj1,81.89610362890019,476.72843451560396,True,1
Launch_v2,4,1,obj2,127.0,462.0,True,1
Launch_v2,5,1,obj1,426.03060790155376,417.98661958625763,True,6
Launch_v2,5,2,obj1,370.88151717043695,502.55847259718,True,6
Launch_v2,5,3,obj1,230.86139106324097,247.85838503034196,True,6
Launch_v2,5,4,obj1,235.99477165418185,247.35646112428975,True,6
Launch_v2,5,5,obj1,260.9966404456232,243.11013615043788,True,6
Launch_v2,5,6,obj1,84.0,568.0,True,6
Launch_v2,6,1,obj1,94.0,299.0,True,8
Launch_v2,6,2,obj1,121.0,444.0,True,8
Launch_v2,6,3,obj1,47.816605495978706,475.2330069576908,True,8
Launch_v2,6,4,obj1,286.08855182434024,341.28492528260875,True,8
Launch_v2,6,5,obj2,115.0,334.0,True,8
Launch_v2,6,6,obj1,341.5615747124681,327.4747176610972,True,8
Launch_v2,6,7,obj1,376.5691629205072,349.6507600557948,True,8
Launch_v2,6,8,obj1,89.0,458.0,True,8
Launch_v2,7,1,obj1,354.6257322475491,186.29525045441196,True,9
Launch_v2,7,2,obj1,346.24849771774893,199.85693549597875,True,9
Launch_v2,7,3,obj1,389.5263883946543,192.65384657652214,True,9
Launch_v2,7,4,obj1,311.2287237183488,340.17708102873064,True,9
Launch_v2,7,5,obj1,307.9078681995505,350.224245039173,True,9
Launch_v2,7,6,obj1,406.7868537725384,367.76428597339,True,9
Launch_v2,7,7,obj1,102.0,511.0,True,9
Launch_v2,7,8,obj1,443.5029781745438,443.486807511159,True,9
Launch_v2,7,9,obj1,82.0,538.0,True,9
Launch_v2,8,1,obj1,87.0,477.0,True,1
Launch_v2,9,1,obj2,119.0,494.0,True,3
Launch_v2,9,2,obj1,142.0,422.0,True,3
Launch_v2,9,3,obj1,78.0,411.0,True,3
Launch_v2,10,1,obj1,147.0,481.0,False,11
Launch_v2,10,2,obj1,472.89626622655874,254.1107442199952,False,11
Launch_v2,10,3,obj1,357.66370213204084,328.34250962988017,False,11
Launch_v2,10,4,obj1,401.3662294115923,138.37960762255145,False,11
Launch_v2,10,5,obj1,351.7736192990508,165.87538393629433,False,11
