game_name,game iter,trial_no,tool,posx,posy,success,total_attempt
Table_B,0,1,obj1,135.0,424.0,False,11
Table_B,0,2,obj2,369.0,44.0,False,11
Table_B,0,3,obj3,174.0,263.0,False,11
Table_B,0,4,obj3,245.0,215.0,False,11
Table_B,0,5,obj2,129.0,456.0,False,11
Table_B,0,6,obj1,181.51086747713825,176.0070286691773,False,11
Table_B,0,7,obj1,182.49209668798142,428.2733802575266,False,11
Table_B,0,8,obj3,182.9067344951277,185.70975252880982,False,11
Table_B,0,9,obj3,178.7764693419422,298.36842935685297,False,11
Table_B,0,10,obj3,197.84258881805417,572.8954613580953,False,11
Table_B,0,11,obj3,368.614865299269,77.78975220246309,False,11
Table_B,1,1,obj3,143.0,284.0,False,11
Table_B,1,2,obj1,206.65515378583746,206.48667364649828,False,11
Table_B,1,3,obj1,199.70266677313495,357.8590797781753,False,11
Table_B,1,4,obj1,460.1611966885646,451.8776380117075,False,11
Table_B,1,5,obj1,462.7894848528322,473.52293725138844,False,11
Table_B,1,6,obj2,134.0,546.0,False,11
Table_B,1,7,obj1,222.63562421465218,471.6775146230887,False,11
Table_B,1,8,obj2,216.0,338.0,False,11
Table_B,1,9,obj2,148.0,362.0,False,11
Table_B,1,10,obj1,123.0,267.0,False,11
Table_B,1,11,obj1,139.0,266.0,False,11
Table_B,2,1,obj1,462.0,131.0,False,11
Table_B,2,2,obj1,193.36253716471938,208.91599229593444,False,11
Table_B,2,3,obj1,194.0556764487054,194.85803835754618,False,11
Table_B,2,4,obj1,317.4257696100784,475.89941044635145,False,11
Table_B,2,5,obj1,312.0825575069452,312.88455816832237,False,11
Table_B,2,6,obj1,301.0703441424888,309.36165975757183,False,11
Table_B,2,7,obj3,115.33172271946812,181.63348887851674,False,11
Table_B,2,8,obj1,323.3737075535782,320.71715865277133,False,11
Table_B,2,9,obj1,223.0,513.0,False,11
Table_B,2,10,obj1,289.1150984677334,307.77625436413626,False,11
Table_B,2,11,obj1,311.9677431720978,303.70936674935825,False,11
Table_B,3,1,obj1,395.79027735072333,389.73897629198285,False,11
Table_B,3,2,obj3,378.5089983269878,394.2007215257737,False,11
Table_B,3,3,obj1,254.19304531266064,508.83336106903204,False,11
Table_B,3,4,obj1,249.29640147268586,533.3593741978812,False,11
Table_B,3,5,obj1,247.99326728675652,385.6770472584999,False,11
Table_B,3,6,obj1,542.9027478480344,325.0666720239653,False,11
Table_B,3,7,obj2,119.0,192.0,False,11
Table_B,3,8,obj1,188.81833040063412,550.7050615022941,False,11
Table_B,3,9,obj1,190.46431118446924,485.8612443377808,False,11
Table_B,3,10,obj2,565.3513081963017,493.07628720347515,False,11
Table_B,3,11,obj3,257.0,29.0,False,11
Table_B,4,1,obj2,131.0,323.0,False,11
Table_B,4,2,obj3,227.38016872260147,240.83693278036637,False,11
Table_B,4,3,obj2,247.3875318773783,248.4454942716948,False,11
Table_B,4,4,obj2,257.3648811162648,255.45291727111416,False,11
Table_B,4,5,obj2,274.48317536038036,269.0758331970958,False,11
Table_B,4,6,obj1,22.603143211530323,438.4683007793676,False,11
Table_B,4,7,obj1,332.78326215791526,323.5217551871156,False,11
Table_B,4,8,obj1,340.1589746657094,333.94991653748315,False,11
Table_B,4,9,obj1,273.4818184151698,169.41462410496362,False,11
Table_B,4,10,obj3,360.0,468.0,False,11
Table_B,4,11,obj3,151.0,299.0,False,11
Table_B,5,1,obj1,198.52891568980303,203.63281567186777,False,11
Table_B,5,2,obj1,477.27095050019113,204.3611940386245,False,11
Table_B,5,3,obj2,160.0,466.0,False,11
Table_B,5,4,obj3,122.0,433.0,False,11
Table_B,5,5,obj2,238.6952561197371,242.35577002736517,False,11
Table_B,5,6,obj2,267.30506597160417,345.3693487233251,False,11
Table_B,5,7,obj1,154.0,274.0,False,11
Table_B,5,8,obj1,459.6061300777819,420.02303112049157,False,11
Table_B,5,9,obj1,127.48779732859374,270.16089045888543,False,11
Table_B,5,10,obj1,458.3044739059701,265.8972441417877,False,11
Table_B,5,11,obj1,217.74539112353386,519.7493385564817,False,11
Table_B,6,1,obj1,231.52661371580663,240.8817717237434,False,11
Table_B,6,2,obj1,397.8821263439614,387.902579417241,False,11
Table_B,6,3,obj1,550.3183159909569,128.64098833883804,False,11
Table_B,6,4,obj2,219.0,522.0,False,11
Table_B,6,5,obj3,209.3911509546224,208.62469091573035,False,11
Table_B,6,6,obj2,224.0,405.0,False,11
Table_B,6,7,obj3,194.16256405733682,197.5709330290345,False,11
Table_B,6,8,obj3,503.2628784049351,102.5535796572737,False,11
Table_B,6,9,obj3,520.5558081963279,474.49519978769337,False,11
Table_B,6,10,obj3,155.0,483.0,False,11
Table_B,6,11,obj2,481.6098503731104,473.60843534064503,False,11
Table_B,7,1,obj1,287.95826734338294,285.8209158590679,False,11
Table_B,7,2,obj1,67.27845873876532,501.9811325991026,False,11
Table_B,7,3,obj1,585.4123143638863,377.0794567508092,False,11
Table_B,7,4,obj1,17.177063911535868,351.98340077130655,False,11
Table_B,7,5,obj1,178.0729061706798,331.8916860996712,False,11
Table_B,7,6,obj3,498.20720615278293,293.35141812719473,False,11
Table_B,7,7,obj3,162.0,357.0,False,11
Table_B,7,8,obj3,401.15627500939394,398.9654460885956,False,11
Table_B,7,9,obj1,206.61311029845677,528.6247257202444,False,11
Table_B,7,10,obj1,12.02476311513908,387.63119744249633,False,11
Table_B,7,11,obj2,320.60976679435186,322.8924456589552,False,11
Table_B,8,1,obj3,198.0710803010847,207.74444909876576,False,11
Table_B,8,2,obj1,268.07800335227387,276.780106704572,False,11
Table_B,8,3,obj3,137.0,379.0,False,11
Table_B,8,4,obj2,234.17550211819025,547.7719376210983,False,11
Table_B,8,5,obj1,180.85566740187681,345.3131208099146,False,11
Table_B,8,6,obj1,75.52848530566243,264.8647595465149,False,11
Table_B,8,7,obj1,581.1984255973819,484.52958138142503,False,11
Table_B,8,8,obj1,64.39180256982718,471.13230908476316,False,11
Table_B,8,9,obj1,133.31834109601547,270.8662262746734,False,11
Table_B,8,10,obj1,275.6820715470533,524.0607762094478,False,11
Table_B,8,11,obj1,55.2320084818129,474.47075821056296,False,11
Table_B,9,1,obj1,258.49575147658885,254.22245477620507,False,11
Table_B,9,2,obj1,389.9360775253164,259.92648826275286,False,11
Table_B,9,3,obj2,159.0,403.0,False,11
Table_B,9,4,obj2,159.0,435.0,False,11
Table_B,9,5,obj2,169.79276049947242,504.24479197804135,False,11
Table_B,9,6,obj1,465.0,306.0,False,11
Table_B,9,7,obj2,442.8415925761177,477.4881274867895,False,11
Table_B,9,8,obj2,383.70392581882226,44.5071765609178,False,11
Table_B,9,9,obj2,479.028295356994,412.19037511316174,False,11
Table_B,9,10,obj2,143.0,509.0,False,11
Table_B,9,11,obj2,411.0,175.0,False,11
Table_B,10,1,obj1,540.5019785672066,226.20204027073788,False,11
Table_B,10,2,obj1,118.62485785412174,240.07974171471034,False,11
Table_B,10,3,obj1,432.92656998303005,443.9647402110352,False,11
Table_B,10,4,obj3,438.64609580956323,429.386179715222,False,11
Table_B,10,5,obj3,266.5536374618188,261.17770547767196,False,11
Table_B,10,6,obj3,261.3534646112614,570.1342433790132,False,11
Table_B,10,7,obj1,142.0,449.0,False,11
Table_B,10,8,obj3,256.0,41.0,False,11
Table_B,10,9,obj3,258.0263257465399,49.059914953479336,False,11
Table_B,10,10,obj3,271.30591470625217,578.4584510979469,False,11
Table_B,10,11,obj3,135.0,491.0,False,11
