game_name,game iter,trial_no,tool,posx,posy,success,total_attempt
Balance,0,1,obj1,255.07910904761997,242.80545761593743,False,11
Balance,0,2,obj1,274.7432542811396,211.48510945737596,False,11
Balance,0,3,obj1,545.749304200117,214.66137142928318,False,11
Balance,0,4,obj1,521.7367145387295,368.8561276634581,False,11
Balance,0,5,obj1,220.6693759078016,161.769886326437,False,11
Balance,0,6,obj1,236.0,386.0,False,11
Balance,0,7,obj2,233.04315613556707,224.25304901436758,False,11
Balance,0,8,obj2,220.12295686722203,219.3338442216706,False,11
Balance,0,9,obj3,236.0,212.0,False,11
Balance,0,10,obj1,223.0,245.0,False,11
Balance,0,11,obj2,235.29250301097727,219.04295168297503,False,11
Balance,1,1,obj1,272.0,332.0,False,11
Balance,1,2,obj1,141.8900321758495,123.24900729162482,False,11
Balance,1,3,obj2,222.0,212.0,False,11
Balance,1,4,obj2,241.0,130.0,False,11
Balance,1,5,obj2,189.0,185.0,False,11
Balance,1,6,obj1,244.19954284369635,194.2315886192528,False,11
Balance,1,7,obj1,238.4146885499523,88.70190012751675,False,11
Balance,1,8,obj1,243.83402976064247,370.6317743802223,False,11
Balance,1,9,obj1,273.2269605758676,236.92455322312435,False,11
Balance,1,10,obj1,241.93550908377404,350.1016508743669,False,11
Balance,1,11,obj1,192.0,148.0,False,11
Balance,2,1,obj1,220.70081866792898,228.02498583297643,False,11
Balance,2,2,obj1,244.0,228.0,False,11
Balance,2,3,obj3,223.0,383.0,False,11
Balance,2,4,obj3,228.0,182.0,False,11
Balance,2,5,obj2,260.72229601789235,247.4710056766366,False,11
Balance,2,6,obj2,84.41951398272633,238.76256691488925,False,11
Balance,2,7,obj2,188.35661331213484,208.79122229633046,False,11
Balance,2,8,obj2,188.99664730371867,204.17663110455558,False,11
Balance,2,9,obj2,190.7154242448194,135.5175260417666,False,11
Balance,2,10,obj2,225.0,186.0,False,11
Balance,2,11,obj2,199.43476419904428,146.73008043063322,False,11
Balance,3,1,obj1,371.7639547837311,374.45851445983214,False,11
Balance,3,2,obj2,197.70852901774293,189.3036333493409,False,11
Balance,3,3,obj3,220.0,365.0,False,11
Balance,3,4,obj2,216.73601760398148,221.56332679569698,False,11
Balance,3,5,obj2,214.42526351797045,132.7560673188546,False,11
Balance,3,6,obj2,216.53704468142885,92.62000989985742,False,11
Balance,3,7,obj2,230.18801140896062,175.38311158929145,False,11
Balance,3,8,obj3,457.0,377.0,False,11
Balance,3,9,obj2,36.71736299862306,205.18204216161942,False,11
Balance,3,10,obj3,124.39512785619942,87.74853346464782,False,11
Balance,3,11,obj3,535.1483753547609,136.63609327301117,False,11
Balance,4,1,obj1,244.9135235343494,239.23344961488905,False,11
Balance,4,2,obj1,243.44441207493566,200.6907909783065,False,11
Balance,4,3,obj1,226.19220128433068,393.1998007431579,False,11
Balance,4,4,obj1,207.35572724478513,147.21295631935342,False,11
Balance,4,5,obj2,100.86873578694355,208.83795735208872,False,11
Balance,4,6,obj3,237.0,186.0,False,11
Balance,4,7,obj3,227.2954069177403,412.13060409200733,False,11
Balance,4,8,obj2,206.0,157.0,False,11
Balance,4,9,obj2,211.0,43.0,False,11
Balance,4,10,obj3,242.0,160.0,False,11
Balance,4,11,obj3,234.0,353.0,False,11
Balance,5,1,obj3,450.0,329.0,True,1
Balance,6,1,obj1,215.8213200717568,205.5593243778658,False,11
Balance,6,2,obj1,222.7644886645897,117.09670689337844,False,11
Balance,6,3,obj1,234.1362021075477,236.7046158517108,False,11
Balance,6,4,obj1,265.19225705253257,383.8569267063191,False,11
Balance,6,5,obj1,190.0,124.0,False,11
Balance,6,6,obj3,186.29083666628426,172.43346975055084,False,11
Balance,6,7,obj1,229.6394615080472,224.78816365486853,False,11
Balance,6,8,obj1,234.79778124132844,238.6227403664262,False,11
Balance,6,9,obj1,234.95375086161363,194.84328035835492,False,11
Balance,6,10,obj1,162.20957856815852,151.2679685160698,False,11
Balance,6,11,obj1,160.05748835606985,123.77816799479395,False,11
Balance,7,1,obj1,158.55143939031544,148.9038635337656,True,4
Balance,7,2,obj1,150.08824762722182,157.28854188707942,True,4
Balance,7,3,obj2,205.0,111.0,True,4
Balance,7,4,obj3,474.0,409.0,True,4
Balance,8,1,obj2,229.02275967870605,238.79592034680235,True,3
Balance,8,2,obj2,64.05188609164048,311.69107798421,True,3
Balance,8,3,obj3,478.0,377.0,True,3
Balance,9,1,obj1,220.0,205.0,False,11
Balance,9,2,obj1,194.3995603711609,181.84584297753696,False,11
Balance,9,3,obj1,185.0,167.0,False,11
Balance,9,4,obj1,206.63359005307805,219.61690804199276,False,11
Balance,9,5,obj3,406.0,314.0,False,11
Balance,9,6,obj1,242.04476174461206,249.10188365136077,False,11
Balance,9,7,obj1,243.53034173930118,243.60473619944648,False,11
Balance,9,8,obj1,247.98981258057069,253.3334818506026,False,11
Balance,9,9,obj1,213.4634222174368,246.50564909891656,False,11
Balance,9,10,obj1,560.3026987945757,394.7320637633383,False,11
Balance,9,11,obj3,504.0,355.0,False,11
Balance,10,1,obj1,416.69023012968455,398.32128393212616,False,11
Balance,10,2,obj1,221.7909451279891,205.7992552939385,False,11
Balance,10,3,obj1,204.51101866611262,200.37732917217082,False,11
Balance,10,4,obj1,214.0,183.0,False,11
Balance,10,5,obj1,191.91715870988992,166.9752430899765,False,11
Balance,10,6,obj1,270.7636202857804,116.92355785238072,False,11
Balance,10,7,obj1,187.39049447038764,33.25770419515163,False,11
Balance,10,8,obj1,227.924840310876,51.58282012296786,False,11
Balance,10,9,obj1,194.82000248192458,85.2424989450873,False,11
Balance,10,10,obj3,195.53456501073396,95.71777161923384,False,11
Balance,10,11,obj3,212.23322053415134,157.1355275391456,False,11
Balance,11,1,obj1,219.0,184.0,False,11
Balance,11,2,obj3,215.3105127770044,228.4905964620998,False,11
Balance,11,3,obj3,204.2760186310481,226.18026636716536,False,11
Balance,11,4,obj3,414.6852885963351,393.59496275123337,False,11
Balance,11,5,obj1,226.77002401473283,215.09292996208217,False,11
Balance,11,6,obj1,262.69893001064463,373.3444675473513,False,11
Balance,11,7,obj1,340.4921862578531,393.217307768384,False,11
Balance,11,8,obj1,357.49590839670316,332.717913383148,False,11
Balance,11,9,obj1,252.4949461169207,247.49275129050315,False,11
Balance,11,10,obj2,193.0,91.0,False,11
Balance,11,11,obj2,215.26719929277078,171.46650454137227,False,11
