game_name,game iter,trial_no,tool,posx,posy,success,total_attempt
Basic_v2,0,1,obj1,509.4942017845595,509.729559183737,True,1
Basic_v2,1,1,obj1,478.35319757470893,476.32451962092796,False,11
Basic_v2,1,2,obj1,498.74937995347614,343.9364592910605,False,11
Basic_v2,1,3,obj3,509.0,404.0,False,11
Basic_v2,1,4,obj1,41.88448460657298,165.42770547198415,False,11
Basic_v2,1,5,obj1,78.83920264106416,329.3303189797381,False,11
Basic_v2,1,6,obj1,354.5199934497771,425.97298207721326,False,11
Basic_v2,1,7,obj1,143.17285757891568,406.1290308207357,False,11
Basic_v2,1,8,obj1,394.44648269893474,568.2555339800614,False,11
Basic_v2,1,9,obj1,494.3857721342724,380.69448721386294,False,11
Basic_v2,1,10,obj1,487.9199131464777,376.9704089199184,False,11
Basic_v2,1,11,obj1,512.1953603622616,389.7803655281917,False,11
Basic_v2,2,1,obj1,496.54240980430245,493.190371873335,True,2
Basic_v2,2,2,obj1,518.0,472.0,True,2
Basic_v2,3,1,obj1,508.9303357802136,505.47136408587187,False,11
Basic_v2,3,2,obj1,496.6793099641303,512.668362160337,False,11
Basic_v2,3,3,obj2,198.9380972640601,204.32754394416418,False,11
Basic_v2,3,4,obj2,524.4524516625949,480.61750737510755,False,11
Basic_v2,3,5,obj2,202.50916873861604,348.8405457044156,False,11
Basic_v2,3,6,obj2,177.17512227455043,508.5642449972684,False,11
Basic_v2,3,7,obj3,522.0,432.0,False,11
Basic_v2,3,8,obj2,356.035346344864,340.5008406975351,False,11
Basic_v2,3,9,obj2,353.4789778225493,509.84904057529974,False,11
Basic_v2,3,10,obj2,545.0200897049365,246.513690782528,False,11
Basic_v2,3,11,obj2,338.312393882229,253.2861924669688,False,11
Basic_v2,4,1,obj1,433.93161488660013,573.1515759656629,False,11
Basic_v2,4,2,obj2,523.0,423.0,False,11
Basic_v2,4,3,obj2,514.0,442.0,False,11
Basic_v2,4,4,obj2,287.89793662155313,566.2293449808615,False,11
Basic_v2,4,5,obj2,280.8989117804592,360.2229255993194,False,11
Basic_v2,4,6,obj2,281.6289278215108,577.9449113061131,False,11
Basic_v2,4,7,obj2,509.0,270.0,False,11
Basic_v2,4,8,obj3,510.0,394.0,False,11
Basic_v2,4,9,obj2,100.54534955712694,472.75665221214064,False,11
Basic_v2,4,10,obj2,525.6132148570372,504.51321696081123,False,11
Basic_v2,4,11,obj2,515.7935610016652,564.9719071515935,False,11
Basic_v2,5,1,obj1,521.5457746072202,515.8305712495669,True,2
Basic_v2,5,2,obj1,519.5992493657823,512.4773477001536,True,2
Basic_v2,6,1,obj1,499.3468421622071,496.92239999354445,True,1
Basic_v2,7,1,obj1,517.8304175867512,517.7777691142633,True,1
