game_name,game iter,trial_no,tool,posx,posy,success,total_attempt
Remove,0,1,obj1,42.895707584795545,28.60724421137886,False,11
Remove,0,2,obj1,55.40027785606942,50.12646994220215,False,11
Remove,0,3,obj1,435.6250522076177,429.51812675128537,False,11
Remove,0,4,obj1,438.66533457617476,467.4118299554698,False,11
Remove,0,5,obj3,343.0,200.0,False,11
Remove,0,6,obj1,347.8413514527478,350.95382848246817,False,11
Remove,0,7,obj1,356.4551935982887,358.45576324648556,False,11
Remove,0,8,obj1,343.0619590679646,539.402100442876,False,11
Remove,0,9,obj2,410.0,502.0,False,11
Remove,0,10,obj1,416.881191406146,197.29068244148337,False,11
Remove,0,11,obj2,41.0,568.0,False,11
Remove,1,1,obj2,346.0,504.0,False,11
Remove,1,2,obj3,58.0,562.0,False,11
Remove,1,3,obj1,54.505366161171956,77.33725360695519,False,11
Remove,1,4,obj2,57.38400369267969,55.39978051579844,False,11
Remove,1,5,obj1,42.0,555.0,False,11
Remove,1,6,obj1,50.36954316747323,44.568657015060204,False,11
Remove,1,7,obj1,139.1323695191225,379.0085432687728,False,11
Remove,1,8,obj1,367.0,433.0,False,11
Remove,1,9,obj1,346.0,403.0,False,11
Remove,1,10,obj2,34.0,569.0,False,11
Remove,1,11,obj1,348.0170756001334,435.2981830762939,False,11
Remove,2,1,obj1,393.9242777146595,410.0775348258976,False,11
Remove,2,2,obj3,56.0,535.0,False,11
Remove,2,3,obj1,340.0,370.0,False,11
Remove,2,4,obj1,396.4883863931069,399.4991960777897,False,11
Remove,2,5,obj1,561.5916594889402,290.99649847950786,False,11
Remove,2,6,obj1,561.8122301570071,568.426672673866,False,11
Remove,2,7,obj1,221.9584890225891,75.26668808786188,False,11
Remove,2,8,obj1,97.02977878273765,240.4777295603081,False,11
Remove,2,9,obj3,101.81488239113243,265.1611095111292,False,11
Remove,2,10,obj2,96.71452141949601,100.37318723893075,False,11
Remove,2,11,obj2,410.0,433.0,False,11
Remove,3,1,obj1,385.0509630653811,380.1422135927661,False,11
Remove,3,2,obj3,407.0,566.0,False,11
Remove,3,3,obj1,41.922362981985195,212.9260492606463,False,11
Remove,3,4,obj1,43.56393705425788,542.7141858449629,False,11
Remove,3,5,obj1,46.089940202252805,224.7807496709515,False,11
Remove,3,6,obj1,59.22980252494633,568.2192830511112,False,11
Remove,3,7,obj1,381.87482368378994,525.9572122581538,False,11
Remove,3,8,obj1,354.6607562481445,560.5598797567604,False,11
Remove,3,9,obj1,343.7795387524432,482.86912510169816,False,11
Remove,3,10,obj1,360.2542636210455,577.4151692491075,False,11
Remove,3,11,obj1,411.33648361238943,443.9373738391555,False,11
Remove,4,1,obj1,368.5583688602143,371.82791861294305,True,10
Remove,4,2,obj3,360.0,563.0,True,10
Remove,4,3,obj1,387.9072484413451,380.2088010718691,True,10
Remove,4,4,obj1,249.15471776121785,119.40489180315238,True,10
Remove,4,5,obj1,369.0,232.0,True,10
Remove,4,6,obj1,89.57181964763828,563.1191319210421,True,10
Remove,4,7,obj1,358.0,95.0,True,10
Remove,4,8,obj2,354.05074334618223,357.3420766649791,True,10
Remove,4,9,obj3,24.0,362.0,True,10
Remove,4,10,obj2,393.0,556.0,True,10
Remove,5,1,obj1,34.37078227991385,39.46194037043814,False,11
Remove,5,2,obj2,43.0,299.0,False,11
Remove,5,3,obj1,365.81713778858176,389.29861921549355,False,11
Remove,5,4,obj3,403.0,198.0,False,11
Remove,5,5,obj1,355.0,17.0,False,11
Remove,5,6,obj1,338.414368705848,344.2657755142595,False,11
Remove,5,7,obj1,213.05593389825896,187.6095444353755,False,11
Remove,5,8,obj1,344.4593904700597,356.5880509420846,False,11
Remove,5,9,obj3,347.0,438.0,False,11
Remove,5,10,obj1,353.2673358024273,357.0486185704326,False,11
Remove,5,11,obj1,557.8459258157181,546.5331320967332,False,11
Remove,6,1,obj3,338.0,370.0,True,5
Remove,6,2,obj1,314.0227357780259,311.24374077500187,True,5
Remove,6,3,obj3,38.0,155.0,True,5
Remove,6,4,obj2,49.0,212.0,True,5
Remove,6,5,obj3,25.0,573.0,True,5
Remove,7,1,obj1,374.2601677548601,385.8327190525657,False,11
Remove,7,2,obj1,38.142943726513636,31.998850161981807,False,11
Remove,7,3,obj3,282.3171778512987,383.32072323409227,False,11
Remove,7,4,obj3,378.0647661994505,374.85508525969743,False,11
Remove,7,5,obj3,486.9590400872022,535.4380388489657,False,11
Remove,7,6,obj2,483.0092036741057,481.36873637024854,False,11
Remove,7,7,obj2,383.0,389.0,False,11
Remove,7,8,obj1,402.01695091392287,378.0135909792903,False,11
Remove,7,9,obj3,395.0,171.0,False,11
Remove,7,10,obj1,381.05756175229646,398.168280061671,False,11
Remove,7,11,obj1,398.0,445.0,False,11
Remove,8,1,obj1,334.0610887489114,335.1893744462763,True,1
Remove,9,1,obj1,88.75516362825928,87.6739600449539,False,11
Remove,9,2,obj1,535.2381723172839,168.7449129651763,False,11
Remove,9,3,obj1,41.0,505.0,False,11
Remove,9,4,obj1,411.0,434.0,False,11
Remove,9,5,obj3,408.2474389488648,577.4126544735651,False,11
Remove,9,6,obj1,54.0,45.0,False,11
Remove,9,7,obj1,88.95287070653464,273.2865399391699,False,11
Remove,9,8,obj1,353.22240502765976,99.13871748318851,False,11
Remove,9,9,obj3,28.809305403197435,55.194672594836995,False,11
Remove,9,10,obj3,35.37011026174805,22.86181125830913,False,11
Remove,9,11,obj1,359.0,462.0,False,11
Remove,10,1,obj1,36.436072903225636,58.26843431387723,True,11
Remove,10,2,obj1,354.62380369223587,352.3689762121456,True,11
Remove,10,3,obj1,363.49782676290977,386.0515442349896,True,11
Remove,10,4,obj3,356.644184731512,362.9301644010171,True,11
Remove,10,5,obj3,541.5424293682615,248.63056884576307,True,11
Remove,10,6,obj3,266.90727306612774,57.815438736556516,True,11
Remove,10,7,obj1,352.0,414.0,True,11
Remove,10,8,obj1,429.3605531939469,124.03197768755737,True,11
Remove,10,9,obj1,369.0,378.0,True,11
Remove,10,10,obj2,381.0,136.0,True,11
Remove,10,11,obj1,33.0,580.0,True,11
Remove,11,1,obj2,339.0,488.0,True,4
Remove,11,2,obj1,347.6317228142768,355.64429604362476,True,4
Remove,11,3,obj2,33.0,291.0,True,4
Remove,11,4,obj3,334.4079765670052,354.89994439007216,True,4
Remove,12,1,obj1,334.0479805106842,335.14098665231325,True,1
Remove,13,1,obj1,373.008331189417,376.8003537260119,True,10
Remove,13,2,obj2,385.0,235.0,True,10
Remove,13,3,obj1,559.5946649255404,556.2601135363159,True,10
Remove,13,4,obj1,555.8442784112717,570.0307821893504,True,10
Remove,13,5,obj1,117.16834993455633,200.65890078635175,True,10
Remove,13,6,obj1,142.83448215136593,471.9969506892124,True,10
Remove,13,7,obj1,154.32506762944203,460.0173611071604,True,10
Remove,13,8,obj3,164.63626619661568,138.91139561783496,True,10
Remove,13,9,obj3,35.0,520.0,True,10
Remove,13,10,obj3,331.759289282415,330.7097050388169,True,10
Remove,14,1,obj1,47.39734511860738,54.28218808297634,False,11
Remove,14,2,obj1,222.60563637976915,292.6597145659364,False,11
Remove,14,3,obj1,474.7262010140222,226.13133132972266,False,11
Remove,14,4,obj2,413.48076315700087,408.35318978710404,False,11
Remove,14,5,obj2,178.44857460356118,381.23756005127075,False,11
Remove,14,6,obj2,207.89429608766716,566.2541933706007,False,11
Remove,14,7,obj2,112.08966322146364,575.3750605055615,False,11
Remove,14,8,obj2,105.70576426264807,63.83820764456436,False,11
Remove,14,9,obj1,49.0,275.0,False,11
Remove,14,10,obj2,449.08449797834385,213.72527616580106,False,11
Remove,14,11,obj2,102.4326271186412,279.08136426260376,False,11
Remove,15,1,obj1,49.626689695748155,48.57512932986255,True,5
Remove,15,2,obj1,54.43480009248331,46.55288566677832,True,5
Remove,15,3,obj1,83.51858950794866,504.94807609792826,True,5
Remove,15,4,obj2,343.0,558.0,True,5
Remove,15,5,obj2,398.0,506.0,True,5
Remove,16,1,obj1,366.33958823424797,366.1957075850287,True,6
Remove,16,2,obj3,397.0,200.0,True,6
Remove,16,3,obj1,341.0,168.0,True,6
Remove,16,4,obj1,302.7047709437292,236.05072408223606,True,6
Remove,16,5,obj1,112.09537125084933,21.43188859611587,True,6
Remove,16,6,obj3,337.0,391.0,True,6
Remove,17,1,obj1,396.3285016803736,404.1393057886791,True,8
Remove,17,2,obj3,354.0,432.0,True,8
Remove,17,3,obj3,22.731654241578514,54.0175036525382,True,8
Remove,17,4,obj3,352.0,414.0,True,8
Remove,17,5,obj1,309.3124047209883,190.09529016209265,True,8
Remove,17,6,obj1,260.2105084648255,30.82417765200544,True,8
Remove,17,7,obj3,377.0,187.0,True,8
Remove,17,8,obj1,221.37723618185672,518.8404478701085,True,8
Remove,18,1,obj2,411.0,440.0,True,11
Remove,18,2,obj3,362.27400464046383,368.0270107847963,True,11
Remove,18,3,obj2,349.0,168.0,True,11
Remove,18,4,obj2,352.43203230101625,358.55502767530817,True,11
Remove,18,5,obj1,36.0,532.0,True,11
Remove,18,6,obj2,39.5748572488542,577.3649789584592,True,11
Remove,18,7,obj1,31.63211709462565,31.59704114574124,True,11
Remove,18,8,obj1,381.9233589959758,374.8484312007371,True,11
Remove,18,9,obj1,383.68452863744153,413.077746668489,True,11
Remove,18,10,obj1,190.83474302828986,526.1484221272191,True,11
Remove,18,11,obj3,337.0,474.0,True,11
Remove,19,1,obj3,48.055613664015326,60.4352310197486,True,4
Remove,19,2,obj1,57.61714352835578,52.085664546795975,True,4
Remove,19,3,obj2,39.0,579.0,True,4
Remove,19,4,obj1,35.84421282378954,582.3664315756075,True,4
Remove,20,1,obj1,34.734055074933934,36.70053790038633,False,11
Remove,20,2,obj2,400.0356497435192,403.4895022862945,False,11
Remove,20,3,obj2,294.5298821796457,76.76032250606154,False,11
Remove,20,4,obj2,262.2095626362137,109.99625801875544,False,11
Remove,20,5,obj2,387.246697231322,237.2085278671877,False,11
Remove,20,6,obj2,351.76463598495,150.06238416060802,False,11
Remove,20,7,obj2,94.20426385716911,178.5127126774123,False,11
Remove,20,8,obj3,379.0,570.0,False,11
Remove,20,9,obj2,358.1958266640842,232.6533920134941,False,11
Remove,20,10,obj2,78.14327142144253,153.00880825899458,False,11
Remove,20,11,obj3,395.0,154.0,False,11
Remove,21,1,obj1,355.2157629326545,353.75306962036814,True,6
Remove,21,2,obj1,353.68594127005315,356.595877669924,True,6
Remove,21,3,obj1,346.84837410949973,346.88609936050665,True,6
Remove,21,4,obj1,115.39303414495328,550.7532615533004,True,6
Remove,21,5,obj1,351.0,196.0,True,6
Remove,21,6,obj3,336.7113048814913,397.0581346057995,True,6
Remove,22,1,obj1,404.0,123.0,True,3
Remove,22,2,obj1,359.0,438.0,True,3
Remove,22,3,obj2,397.0,441.0,True,3
Remove,23,1,obj1,408.3120749972413,416.31103950583724,True,6
Remove,23,2,obj3,397.28880082760656,387.55518355714565,True,6
Remove,23,3,obj1,33.0,360.0,True,6
Remove,23,4,obj3,27.30127085036502,48.84420851260852,True,6
Remove,23,5,obj3,359.78430799677295,409.6661959585325,True,6
Remove,23,6,obj3,331.4456944181113,329.4065842137249,True,6
Remove,24,1,obj1,51.51636621445576,67.50244442327974,True,4
Remove,24,2,obj2,397.0,372.0,True,4
Remove,24,3,obj2,70.80942890003172,120.63876948927151,True,4
Remove,24,4,obj2,317.75484386933556,345.31342281736977,True,4
Remove,25,1,obj1,43.91510418599847,45.9620368008101,True,10
Remove,25,2,obj3,43.04124783107548,40.81907378323773,True,10
Remove,25,3,obj3,31.897225353089617,28.365855209762138,True,10
Remove,25,4,obj3,22.056129610322202,27.5087964132483,True,10
Remove,25,5,obj3,355.1974775625612,358.6844560593085,True,10
Remove,25,6,obj3,461.05934003447226,433.28790425467196,True,10
Remove,25,7,obj3,372.37546224153607,381.87590666136396,True,10
Remove,25,8,obj2,381.7029596990792,373.0549165749352,True,10
Remove,25,9,obj2,369.0987737540991,391.83156775646603,True,10
Remove,25,10,obj2,323.4231069301409,446.58646971797015,True,10
Remove,26,1,obj3,329.1949310353002,344.1594572409047,True,1
Remove,27,1,obj1,347.4505120836775,361.43597955671913,True,1
Remove,28,1,obj1,330.8546280051358,329.08704264965553,True,1
Remove,29,1,obj1,300.29468118034424,311.9559822639323,True,4
Remove,29,2,obj2,51.0,230.0,True,4
Remove,29,3,obj1,48.71625457553482,40.859332328337324,True,4
Remove,29,4,obj3,338.0,504.0,True,4
Remove,30,1,obj3,41.0,206.0,True,4
Remove,30,2,obj1,49.7084537676912,67.05857145782196,True,4
Remove,30,3,obj1,354.59340594622466,253.5384916185604,True,4
Remove,30,4,obj2,322.09275523898816,315.5836573479954,True,4
Remove,31,1,obj1,399.0,232.0,False,11
Remove,31,2,obj1,422.27286862571054,421.67114855522425,False,11
Remove,31,3,obj1,501.15029451128197,410.02593872596935,False,11
Remove,31,4,obj2,47.0,558.0,False,11
Remove,31,5,obj3,59.0,544.0,False,11
Remove,31,6,obj3,87.03968240085037,78.301822616609,False,11
Remove,31,7,obj1,50.0,575.0,False,11
Remove,31,8,obj3,48.0,192.0,False,11
Remove,31,9,obj3,58.0,321.0,False,11
Remove,31,10,obj1,361.0,382.0,False,11
Remove,31,11,obj2,43.30454782003514,138.4897978972746,False,11
Remove,32,1,obj1,390.5767582111794,389.59511204802675,True,5
Remove,32,2,obj1,152.51382673493947,143.02030100125208,True,5
Remove,32,3,obj1,202.3105820304909,197.76955547010087,True,5
Remove,32,4,obj1,455.95630528315195,468.0666528625252,True,5
Remove,32,5,obj2,394.0,433.0,True,5
Remove,33,1,obj1,299.14105351298247,309.1106322705207,True,6
Remove,33,2,obj1,286.27403176733645,264.7248480060999,True,6
Remove,33,3,obj1,56.0,550.0,True,6
Remove,33,4,obj3,63.77405669626891,65.4131797709345,True,6
Remove,33,5,obj3,340.0,96.0,True,6
Remove,33,6,obj1,330.92651283469536,329.22528889438075,True,6
Remove,34,1,obj1,371.09114437676715,358.49128535636527,False,11
Remove,34,2,obj1,359.76853836776627,358.8446944208894,False,11
Remove,34,3,obj3,374.0698861071811,366.7952865011881,False,11
Remove,34,4,obj3,416.64383250965693,337.1945240632759,False,11
Remove,34,5,obj3,412.0,543.0,False,11
Remove,34,6,obj3,390.2381036912545,512.5461319725757,False,11
Remove,34,7,obj2,389.9423297179709,396.3754488891833,False,11
Remove,34,8,obj2,370.74267967912374,390.36468530270594,False,11
Remove,34,9,obj2,253.165579526976,524.0423088393464,False,11
Remove,34,10,obj2,251.446244500852,139.8279782127713,False,11
Remove,34,11,obj2,342.0,493.0,False,11
Remove,35,1,obj3,359.0,483.0,True,3
Remove,35,2,obj1,350.86795273367034,362.09431277269096,True,3
Remove,35,3,obj3,337.0,350.0,True,3
Remove,36,1,obj1,33.385739832654295,25.28867760754402,False,11
Remove,36,2,obj3,343.7914411897017,218.96456474532596,False,11
Remove,36,3,obj1,35.0,271.0,False,11
Remove,36,4,obj3,228.36667601597898,110.22446494792129,False,11
Remove,36,5,obj3,48.0,286.0,False,11
Remove,36,6,obj1,53.71946915650132,38.51802265562851,False,11
Remove,36,7,obj1,33.83482823339792,34.62111736253687,False,11
Remove,36,8,obj1,399.0,526.0,False,11
Remove,36,9,obj1,421.4051385762613,514.935586251853,False,11
Remove,36,10,obj1,378.9488649447291,547.663093012706,False,11
Remove,36,11,obj3,378.2296225893435,221.95129332632862,False,11
Remove,37,1,obj3,384.0,430.0,True,3
Remove,37,2,obj1,354.5413627745936,366.4453566874442,True,3
Remove,37,3,obj1,331.3954945927488,335.014022439016,True,3
Remove,38,1,obj1,396.48954102712645,401.05311279001523,True,8
Remove,38,2,obj1,385.0423639188267,237.1293839816481,True,8
Remove,38,3,obj2,53.0,259.0,True,8
Remove,38,4,obj3,34.992693119421304,25.8245761974007,True,8
Remove,38,5,obj1,35.22696143746121,205.64046340957967,True,8
Remove,38,6,obj3,398.83006234634354,393.35256686573774,True,8
Remove,38,7,obj1,51.63750261068086,329.78169792830874,True,8
Remove,38,8,obj1,34.53797082523637,572.726578607489,True,8
Remove,39,1,obj1,53.0,505.0,False,11
Remove,39,2,obj1,397.0,523.0,False,11
Remove,39,3,obj1,401.3636082326059,392.791335831947,False,11
Remove,39,4,obj1,382.6356401357735,380.19860924074464,False,11
Remove,39,5,obj2,379.0,466.0,False,11
Remove,39,6,obj1,31.961122776261774,42.30647236957621,False,11
Remove,39,7,obj1,37.307708069823754,94.68692282946088,False,11
Remove,39,8,obj3,47.51766982820845,48.20625044394429,False,11
Remove,39,9,obj3,55.081494553975375,73.76567447391407,False,11
Remove,39,10,obj1,358.0,443.0,False,11
Remove,39,11,obj3,395.0,241.0,False,11
Remove,40,1,obj3,345.0,100.0,False,11
Remove,40,2,obj1,379.0332753172962,382.18193945989805,False,11
Remove,40,3,obj1,44.94633427926729,19.7553120840792,False,11
Remove,40,4,obj1,353.11855504122036,350.0967890077054,False,11
Remove,40,5,obj1,533.2506711706591,397.56200749757505,False,11
Remove,40,6,obj1,222.11701476931316,210.23661872057014,False,11
Remove,40,7,obj1,70.11111646198216,126.71785366896869,False,11
Remove,40,8,obj1,139.6646843352157,301.1515851477776,False,11
Remove,40,9,obj2,53.0,302.0,False,11
Remove,40,10,obj1,72.988276896173,68.58004310906972,False,11
Remove,40,11,obj3,75.28960560249527,82.01767831089684,False,11
Remove,41,1,obj1,355.22352667675057,362.9709474326669,True,10
Remove,41,2,obj1,365.86849459317995,407.97660841022105,True,10
Remove,41,3,obj1,338.4715475627063,508.51696637944053,True,10
Remove,41,4,obj1,341.39687257627094,24.0755430466117,True,10
Remove,41,5,obj1,248.93365882781953,496.3192878646347,True,10
Remove,41,6,obj2,400.0,148.0,True,10
Remove,41,7,obj3,219.81605794755893,285.0793380955766,True,10
Remove,41,8,obj1,505.47082106171524,281.47942191641357,True,10
Remove,41,9,obj3,188.02866240098348,456.7800003836244,True,10
Remove,41,10,obj3,337.0,388.0,True,10
Remove,42,1,obj1,33.140597563173564,58.031685502455204,True,5
Remove,42,2,obj1,49.20824391237024,45.73121766897111,True,5
Remove,42,3,obj1,41.285413557257726,41.641737039854036,True,5
Remove,42,4,obj3,47.24016794530382,55.907055072700246,True,5
Remove,42,5,obj2,401.0,536.0,True,5
Remove,43,1,obj1,402.7479614232882,418.1815326375849,False,11
Remove,43,2,obj1,415.2144432384195,411.71742078110026,False,11
Remove,43,3,obj1,421.21968625954673,410.95584253761075,False,11
Remove,43,4,obj1,431.7678871529993,429.17135011809074,False,11
Remove,43,5,obj1,444.7286784464888,440.1562894634499,False,11
Remove,43,6,obj1,403.43561418216666,372.17029372141224,False,11
Remove,43,7,obj1,40.31183545650269,289.53345733357236,False,11
Remove,43,8,obj1,49.06261643680661,253.1391847182137,False,11
Remove,43,9,obj2,50.0,506.0,False,11
Remove,43,10,obj3,137.4570635231849,175.09044720193606,False,11
Remove,43,11,obj1,349.0,472.0,False,11
Remove,44,1,obj1,40.48726414321739,31.424189877155662,False,11
Remove,44,2,obj1,444.7956884974683,401.2131165132216,False,11
