game_name,tries,accuracy
Bridge,1,50.0
Bridge,2,62.5
Bridge,3,68.75
Bridge,4,68.75
Bridge,5,68.75
Bridge,6,68.75
Bridge,7,68.75
Bridge,8,68.75
Bridge,9,68.75
Bridge,10,68.75
Catapult,1,43.75
Catapult,2,81.25
Catapult,3,87.5
Catapult,4,93.75
Catapult,5,93.75
Catapult,6,93.75
Catapult,7,93.75
Catapult,8,93.75
Catapult,9,93.75
Catapult,10,93.75
Chaining,1,12.5
Chaining,2,31.25
Chaining,3,43.75
Chaining,4,43.75
Chaining,5,43.75
Chaining,6,62.5
Chaining,7,68.75
Chaining,8,68.75
Chaining,9,75.0
Chaining,10,75.0
Collapse,1,60.0
Collapse,2,80.0
Collapse,3,100.0
Collapse,4,100.0
Collapse,5,100.0
Collapse,6,100.0
Collapse,7,100.0
Collapse,8,100.0
Collapse,9,100.0
Collapse,10,100.0
Launch_A,1,50.0
Launch_A,2,75.0
Launch_A,3,93.75
Launch_A,4,100.0
Launch_A,5,100.0
Launch_A,6,100.0
Launch_A,7,100.0
Launch_A,8,100.0
Launch_A,9,100.0
Launch_A,10,100.0
Remove,1,33.33333333333333
Remove,2,66.66666666666666
Remove,3,80.0
Remove,4,80.0
Remove,5,100.0
Remove,6,100.0
Remove,7,100.0
Remove,8,100.0
Remove,9,100.0
Remove,10,100.0
SeeSaw,1,33.33333333333333
SeeSaw,2,40.0
SeeSaw,3,53.333333333333336
SeeSaw,4,60.0
SeeSaw,5,60.0
SeeSaw,6,60.0
SeeSaw,7,66.66666666666666
SeeSaw,8,66.66666666666666
SeeSaw,9,66.66666666666666
SeeSaw,10,66.66666666666666
Table_A,1,25.0
Table_A,2,43.75
Table_A,3,50.0
Table_A,4,56.25
Table_A,5,56.25
Table_A,6,62.5
Table_A,7,62.5
Table_A,8,62.5
Table_A,9,62.5
Table_A,10,62.5
