game_name,tries,accuracy
Bridge,1,43.75
Bridge,2,56.25
Bridge,3,68.75
Bridge,4,75.0
Bridge,5,81.25
Bridge,6,81.25
Bridge,7,81.25
Bridge,8,81.25
Bridge,9,87.5
Bridge,10,87.5
Catapult,1,18.75
Catapult,2,56.25
Catapult,3,68.75
Catapult,4,75.0
Catapult,5,81.25
Catapult,6,81.25
Catapult,7,81.25
Catapult,8,81.25
Catapult,9,81.25
Catapult,10,87.5
Chaining,1,25.0
Chaining,2,31.25
Chaining,3,37.5
Chaining,4,50.0
Chaining,5,50.0
Chaining,6,56.25
Chaining,7,62.5
Chaining,8,68.75
Chaining,9,75.0
Chaining,10,81.25
Collapse,1,52.94117647058824
Collapse,2,82.35294117647058
Collapse,3,94.11764705882352
Collapse,4,100.0
Collapse,5,100.0
Collapse,6,100.0
Collapse,7,100.0
Collapse,8,100.0
Collapse,9,100.0
Collapse,10,100.0
Launch_A,1,50.0
Launch_A,2,62.5
Launch_A,3,68.75
Launch_A,4,75.0
Launch_A,5,81.25
Launch_A,6,81.25
Launch_A,7,87.5
Launch_A,8,87.5
Launch_A,9,87.5
Launch_A,10,87.5
Remove,1,23.52941176470588
Remove,2,58.82352941176471
Remove,3,64.70588235294117
Remove,4,70.58823529411765
Remove,5,82.35294117647058
Remove,6,88.23529411764706
Remove,7,94.11764705882352
Remove,8,100.0
Remove,9,100.0
Remove,10,100.0
SeeSaw,1,5.88235294117647
SeeSaw,2,29.411764705882355
SeeSaw,3,35.294117647058826
SeeSaw,4,41.17647058823529
SeeSaw,5,47.05882352941176
SeeSaw,6,52.94117647058824
SeeSaw,7,52.94117647058824
SeeSaw,8,52.94117647058824
SeeSaw,9,52.94117647058824
SeeSaw,10,52.94117647058824
Table_A,1,50.0
Table_A,2,87.5
Table_A,3,93.75
Table_A,4,93.75
Table_A,5,93.75
Table_A,6,93.75
Table_A,7,93.75
Table_A,8,93.75
Table_A,9,93.75
Table_A,10,93.75
